senator,transaction_date,disclosure_date,ticker,asset_description,asset_type,amount,name_cleaned,first_name,last_name,full_name
Thomas H Tuberville,07/09/2021,08/13/2021,--,Dec 21 CBT Corn,Commodities/Futures Contract,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/30/2021,08/13/2021,F,"Ford Motor Company Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $15.00 <br> <em>Expires:</em> 03/18/2022 </div>",Stock Option,"$15,001 - $50,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/29/2021,08/13/2021,AA,"Alcoa Corporation Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 10/15/2021 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/28/2021,08/13/2021,NVDA,"NVIDIA Corporation - Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $180.00 <br> <em>Expires:</em> 06/17/2022 </div>",Stock Option,"$15,001 - $50,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/21/2021,08/13/2021,CLF,"Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $20.00 <br> <em>Expires:</em> 01/21/2022 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/21/2021,08/13/2021,CLF,"Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $20.00 <br> <em>Expires:</em> 01/21/2022 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/21/2021,08/13/2021,CLF,"Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $20.00 <br> <em>Expires:</em> 01/21/2022 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/21/2021,08/13/2021,CLF,"Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $23.00 <br> <em>Expires:</em> 01/21/2022 </div>",Stock Option,"$15,001 - $50,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/21/2021,08/13/2021,CLF,Cleveland-Cliffs Inc. Common Stock,Stock,"$100,001 - $250,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/20/2021,08/13/2021,CLF,"Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $20.00 <br> <em>Expires:</em> 01/21/2022 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/20/2021,08/13/2021,CLF,"Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $20.00 <br> <em>Expires:</em> 01/21/2022 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/19/2021,08/13/2021,CLF,Cleveland-Cliffs Inc. Common Stock,Stock,"$50,001 - $100,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/19/2021,08/13/2021,AA,Alcoa Corporation Common Stock,Stock,"$50,001 - $100,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/14/2021,08/13/2021,BABA,"Alibaba Group Holding Limited American Depositary <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $245.00 <br> <em>Expires:</em> 01/21/2022 </div>",Stock Option,"$15,001 - $50,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/14/2021,08/13/2021,BABA,"Alibaba Group Holding Limited American Depositary <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $250.00 <br> <em>Expires:</em> 07/16/2021 </div>",Stock Option,"$15,001 - $50,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/06/2021,08/13/2021,QQQ,"Invesco QQQ Trust, Series 1 <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $262.00 <br> <em>Expires:</em> 09/17/2021 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/01/2021,08/13/2021,INTC,"Intel Corporation - Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $55.00 <br> <em>Expires:</em> 01/21/2022 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/16/2021,08/13/2021,CRWD,"CrowdStrike Holdings, Inc. - Class A Common Stock",Stock,"$15,001 - $50,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/16/2021,08/13/2021,NWL,Newell Brands Inc. - Common Stock,Stock,"$15,001 - $50,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/16/2021,08/13/2021,PEGA,Pegasystems Inc. - Common Stock,Stock,"$15,001 - $50,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/16/2021,08/13/2021,PEP,"PepsiCo, Inc. - Common Stock",Stock,"$15,001 - $50,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/16/2021,08/13/2021,XLY,SPDR Select Sector Fund - Consumer Discretionary,Stock,"$15,001 - $50,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/16/2021,08/13/2021,--,Bristol-Myers Squibb Company Common Stock,Stock,"$15,001 - $50,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/16/2021,08/13/2021,MTUM,iShares MSCI USA Momentum Factor ETF,Stock,"$15,001 - $50,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/16/2021,08/13/2021,SQ,"Square, Inc. Class A Common Stock",Stock,"$15,001 - $50,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/16/2021,08/13/2021,DTD,Wisdomtree U.S. Total Dividend Fund,Stock,"$15,001 - $50,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Shelley M Capito,07/26/2021,08/11/2021,RDSA,Royal Dutch Shell Plc,Stock,"$1,001 - $15,000",Shelley M Capito,Shelley,Capito,Shelley Capito
Shelley M Capito,07/26/2021,08/11/2021,MSFT,Microsoft Corporation - Common Stock,Stock,"$1,001 - $15,000",Shelley M Capito,Shelley,Capito,Shelley Capito
Shelley M Capito,07/26/2021,08/11/2021,IBM,International Business Machines Corporat,Stock,"$1,001 - $15,000",Shelley M Capito,Shelley,Capito,Shelley Capito
Shelley M Capito,07/26/2021,08/11/2021,INTC,Intel Corporation - Common Stock,Stock,"$1,001 - $15,000",Shelley M Capito,Shelley,Capito,Shelley Capito
Shelley M Capito,07/26/2021,08/11/2021,C,"Citigroup, Inc. Common Stock",Stock,"$1,001 - $15,000",Shelley M Capito,Shelley,Capito,Shelley Capito
John Hoeven,07/23/2021,08/11/2021,--,"Northwest Respiratory Services, LLC <div class=""text-muted""> <em>Company:</em> Northwest Respiratory Services, LLC &nbsp;(St. Paul, Minnesota) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Respiratory medical equipment and service provider</div>",Other Securities,"$5,000,001 - $25,000,000",John Hoeven,John,Hoeven,John Hoeven
Rand Paul,02/26/2020,08/11/2021,--,GILD,Stock,"$1,001 - $15,000",Rand Paul,Rand,Paul,Rand Paul
John W Hickenlooper,07/30/2021,08/09/2021,PINS,"Pinterest, Inc. Class A Common Stock",Stock,"$15,001 - $50,000",John W Hickenlooper,John,Hickenlooper,John Hickenlooper
John W Hickenlooper,07/27/2021,08/09/2021,SNAP,Snap Inc. Class A Common Stock,Stock,"$15,001 - $50,000",John W Hickenlooper,John,Hickenlooper,John Hickenlooper
Gary C Peters,07/21/2021,08/03/2021,O,Realty Income Corporation Common Stock,Stock,"$15,001 - $50,000",Gary C Peters,Gary,Peters,Gary Peters
Gary C Peters,07/07/2021,08/03/2021,--,"FORD MOTOR CRDT CO LLC 02.550% 072026 DTD070121 <div class=""text-muted""><em>Rate/Coupon:</em> 02.550%<br> <em>Matures:</em> 07/02/2026</div>",Corporate Bond,"$15,001 - $50,000",Gary C Peters,Gary,Peters,Gary Peters
Thomas R Carper,07/26/2021,08/02/2021,IJS,S&amp;P Small-Cap 600 Value Ishares ETF,Other Securities,"$1,001 - $15,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,07/26/2021,08/02/2021,IVV,S&amp;P 500 Ishares Core ETF,Other Securities,"$1,001 - $15,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,07/26/2021,08/02/2021,ABYIX,Abbey Capital Futures Strategy Fund- Class I Sha,Other Securities,"$1,001 - $15,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,07/26/2021,08/02/2021,CFA,VictoryShares US 500 Volatility Wtd ETF,Other Securities,"$1,001 - $15,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,07/26/2021,08/02/2021,GLD,SPDR Gold Trust,Other Securities,"$1,001 - $15,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,07/26/2021,08/02/2021,FDN,First Trust Dow Jones Internet ETF,Other Securities,"$1,001 - $15,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,07/26/2021,08/02/2021,LUBFX,Lord Abbett Ultra Short Bond Fund - Class F,Other Securities,"$1,001 - $15,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,07/26/2021,08/02/2021,DGRS,WisdomTree U.S. SmallCap Quality Dividend Growth F,Other Securities,"$1,001 - $15,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,07/26/2021,08/02/2021,GBIL,GS Treasuryaccess 0-1 Year ETF,Other Securities,"$1,001 - $15,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,07/26/2021,08/02/2021,FINX,Global X FinTech ETF,Other Securities,"$1,001 - $15,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,07/26/2021,08/02/2021,NXTG,First Trust Indxx Nextg ETF,Other Securities,"$1,001 - $15,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,07/26/2021,08/02/2021,FIMKX,Fidelity Advisor Emerging Markets Fund,Other Securities,"$1,001 - $15,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,07/26/2021,08/02/2021,GEMIX,Goldman Sachs Emerging Markets Equity Fund Insti,Other Securities,"$1,001 - $15,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,07/26/2021,08/02/2021,FCPIX,Fidelity Advisor International Capital Appreciat,Other Securities,"$1,001 - $15,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,07/16/2021,08/02/2021,--,"BCS Contingent Autocall on COF <div class=""text-muted""><em>Rate/Coupon:</em> 8.0%<br> <em>Matures:</em> 07/19/2024</div>",Corporate Bond,"$15,001 - $50,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,07/16/2021,08/02/2021,--,"BCS Contingent Autocall on COF <div class=""text-muted""><em>Rate/Coupon:</em> 8.0%<br> <em>Matures:</em> 07/19/2024</div>",Corporate Bond,"$15,001 - $50,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,07/14/2021,08/02/2021,--,"BCS Contingent Autocall on COF <div class=""text-muted""><em>Rate/Coupon:</em> 8.0%<br> <em>Matures:</em> 04/12/2024</div>",Corporate Bond,"$15,001 - $50,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,07/14/2021,08/02/2021,--,"BCS Contingent Autocall on COF <div class=""text-muted""><em>Rate/Coupon:</em> 8.0%<br> <em>Matures:</em> 04/12/2024</div>",Corporate Bond,"$15,001 - $50,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,07/08/2021,08/02/2021,JCI,Johnson Controls International plc Ordinary Share,Stock,"$1,001 - $15,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,07/08/2021,08/02/2021,FAST,Fastenal Company - Common Stock,Stock,"$1,001 - $15,000",Thomas R Carper,Thomas,Carper,Thomas Carper
"Angus S King, Jr.",06/24/2021,07/28/2021,TMO,Thermo Fisher Scientific Inc.,Stock,"$1,001 - $15,000",Angus S King,Angus,King,Angus King
"Angus S King, Jr.",06/24/2021,07/28/2021,ADBE,Adobe Inc.,Stock,"$1,001 - $15,000",Angus S King,Angus,King,Angus King
"Angus S King, Jr.",06/10/2021,07/28/2021,--,"MAINE ST HSG AUTH REV BOND <div class=""text-muted""><em>Rate/Coupon:</em> 1.70%<br> <em>Matures:</em> 11/15/2021</div>",Municipal Security,"$15,001 - $50,000",Angus S King,Angus,King,Angus King
Thomas H Tuberville,03/29/2021,07/23/2021,ALGN,"Align Technology, Inc.",Stock,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,04/05/2021,07/23/2021,INTC,"Intel Corporation <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $60.00 <br> <em>Expires:</em> 10/15/2021 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,01/25/2021,07/23/2021,BABA,"Alibaba Group Holding Limited <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $230.00 <br> <em>Expires:</em> 09/17/2021 </div>",Stock Option,"$15,001 - $50,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,01/21/2021,07/23/2021,CLF,"Cleveland-Cliffs Inc. <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $15.00 <br> <em>Expires:</em> 07/16/2021 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,01/21/2021,07/23/2021,CLF,Cleveland-Cliffs Inc.,Stock,"$15,001 - $50,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,01/15/2021,07/23/2021,SDOG,ALPS Sector Dividend Dogs ETF,Stock,"$15,001 - $50,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,01/13/2021,07/23/2021,QQQ,"Invesco QQQ Trust <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $262.00 <br> <em>Expires:</em> 09/17/2021 </div>",Stock Option,"$15,001 - $50,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,01/13/2021,07/23/2021,TDY,Teledyne Technologies Incorporated,Stock,"$50,001 - $100,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,01/06/2021,07/23/2021,AA,"Alcoa Corporation <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $22.00 <br> <em>Expires:</em> 01/21/2022 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,01/06/2021,07/23/2021,AA,"Alcoa Corporation <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $22.00 <br> <em>Expires:</em> 01/21/2021 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,01/06/2021,07/23/2021,AA,"Alcoa Corporation <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $26.00 <br> <em>Expires:</em> 07/16/2021 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,01/06/2021,07/23/2021,AA,Alcoa Corporation,Stock,"$15,001 - $50,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,01/06/2021,07/23/2021,AA,Alcoa Corporation,Stock,"$15,001 - $50,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,01/05/2021,07/23/2021,FB,"Facebook, Inc. <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $225.00 <br> <em>Expires:</em> 07/16/2021 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,01/04/2021,07/23/2021,INTC,"Intel Corporation <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $50.00 <br> <em>Expires:</em> 07/16/2021 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,01/04/2021,07/23/2021,INTC,"Intel Corporation <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $50.00 <br> <em>Expires:</em> 07/16/2021 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,01/04/2021,07/23/2021,INTC,"Intel Corporation <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $50.00 <br> <em>Expires:</em> 07/16/2021 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,01/04/2021,07/23/2021,INTC,"Intel Corporation <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $50.00 <br> <em>Expires:</em> 07/16/2021 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,01/04/2021,07/23/2021,WY,Weyerhaeuser Company,Stock,"$50,001 - $100,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,01/04/2021,07/23/2021,ONEQ,Fidelity Nasdaq Composite Index ETF,Stock,"$100,001 - $250,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,01/04/2021,07/23/2021,DG,Dollar General Corporation,Stock,"$50,001 - $100,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
