title,lyrics
​closure,"It's been a long time
And seeing the shape of your name
Still spells out pain
It wasn't right
The way it all went down
Looks like you know that now

Yes, I got your letter
Yes, I'm doing better
It cut deep to know ya, right to the bone
Yes, I got your letter
Yes, I'm doing better
I know that it's over, I don't need your
Closure, your closure

Don't treat me like
Some situation that needs to be handled
I'm fine with my spite
And my tears, and my beers and my candles
I can feel you smoothing me over

Yes, I got your letter
Yes, I'm doing bettеr
It cut deep to know ya, right to the bone
Yes, I got your lеtter
Yes, I'm doing better
I know that it's over, I don't need your
Closure, your closure
Your closure, your closure
I know I'm just a wrinkle in your new life
Staying friends would iron it out so nice
Guilty, guilty, reaching out across the sea
That you put between you and me
But it's fake and it's oh so unnecessary

Yes, I got your letter
Yes, I'm doing better
It cut deep to know ya, right to the bone
Yes, I got your letter
Yes, I'm doing better
I know that it's over, I don't need your
Closure, closure, your closure
Your closure19EmbedShare URLCopyEmbedCopy"
You Belong with Me,"You're on the phone with your girlfriend, she's upset
She's going off about something that you said
'Cause she doesn't get your humor like I do
I'm in the room, it's a typical Tuesday night
I'm listening to the kind of music she doesn't like
And she'll never know your story like I do

But she wears short skirts, I wear T-shirts
She's Cheer Captain and I'm on the bleachers
Dreaming about the day when you wake up and find
That what you're looking for has been here the whole time

If you could see that I'm the one who understands you
Been here all along, so why can't you see?
You belong with me, you belong with me

Walking the streets with you and your worn-out jeans
I can't help thinking this is how it ought to be
Laughing on a park bench, thinking to myself
Hey, isn't this easy?
And you've got a smile that could light up this whole town
I haven't seen it in a while since she brought you down
You say you're fine, I know you better than that
Hey, whatcha doing with a girl like that?
She wears high heels, I wear sneakers
She's Cheer Captain and I'm on the bleachers
Dreaming about the day when you wake up and find
That what you're looking for has been here the whole time

If you could see that I'm the one who understands you
Been here all along, so why can't you see?
You belong with me
Standing by and waiting at your back door
All this time how could you not know, baby?
You belong with me, you belong with me

Oh, I remember you driving to my house
In the middle of the night
I'm the one who makes you laugh
When you know you're 'bout to cry
And I know your favorite songs
And you tell me 'bout your dreams
Think I know where you belong
Think I know it's with me

Can't you see that I'm the one who understands you
Been here all along, so why can't you see?
You belong with me
Standing by and waiting at your back door
All this time how could you not know, baby?
You belong with me, you belong with me
You belong with me
Have you ever thought just maybe
You belong with me?
You belong with me85EmbedShare URLCopyEmbedCopy"
Out of the Woods,"Looking at it now
It all seems so simple
We were lying on your couch
I remember
You took a Polaroid of us
Then discovered (Then discovered)
The rest of the world was black and white
But we were in screaming color
And I remember thinking

Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet, in the clear yet? Good
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet, in the clear yet? Good
(Are we out of the woods?)
Looking at it now
Last December (Last December)
We were built to fall apart
Then fall back together (Back together)
Ooh, your necklace hanging from my neck
The night we couldn't quite forget
When we decided, we decided
To move the furniture so we could dance
Baby, like we stood a chance
Two paper airplanes flying, flying, flying
And I remember thinking
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet, in the clear yet? Good
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? (Oh) Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet, in the clear yet? Good
(Are we out of the woods?)

Remember when you hit the brakes too soon?
Twenty stitches in a hospital room
When you started crying, baby, I did too
But when the sun came up, I was looking at you
Remember when we couldn't take the heat?
I walked out, I said, ""I'm setting you free""
But the monsters turned out to be just trees
When the sun came up, you were looking at me
You were looking at me, ooh
You were looking at me
(Are we out of the woods yet? Are we out of the woods yet?)
(Are we out of the woods yet? Are we out of the woods?)
I remember
(Are we in the clear yet? Are we in the clear yet?)
(Are we in the clear yet, in the clear yet? Good)
Oh, I remember
Are we out of the woods yet? Are we out of the woods yet? (Yeah)
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet? (Are we?)
Are we in the clear yet, in the clear yet? Good
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? (Yeah) Are we in the clear yet? (Yeah)
Are we in the clear yet, in the clear yet? Good

Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet, in the clear yet? Good
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet, in the clear yet? Good156EmbedShare URLCopyEmbedCopy"
Shake It Off,"I stay out too late
Got nothing in my brain
That's what people say, mmm-mmm
That's what people say, mmm-mmm
I go on too many dates
But I can't make them stay
At least that's what people say, mmm-mmm
That's what people say, mmm-mmm

But I keep cruisin'
Can't stop, won't stop movin'
It's like I got this music in my mind
Sayin' it's gonna be alright

'Cause the players gonna play, play, play, play, play
And the haters gonna hate, hate, hate, hate, hate
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off
Heartbreakers gonna break, break, break, break, break
And the fakers gonna fake, fake, fake, fake, fake
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off
I never miss a beat
I'm lightning on my feet
And that's what they don’t see, mmm-mmm
That's what they don’t see, mmm-mmm
I'm dancin' on my own (Dancin' on my own)
I make the moves up as I go (Moves up as I go)
And that's what they don't know, mmm-mmm
That’s what they don’t know, mmm-mmm

But I keep cruisin'
Can't stop, won't stop groovin'
It's like I got this music in my mind
Sayin' it's gonna be alright

'Cause the players gonna play, play, play, play, play
And the haters gonna hate, hate, hate, hate, hate
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off
Heartbreakers gonna break, break, break, break, break
And the fakers gonna fake, fake, fake, fake, fake
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off
Shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off

Hey, hey, hey
Just think, while you've been gettin' down and out about the liars
And the dirty, dirty cheats of the world
You could've been gettin' down
To this sick beat

My ex-man brought his new girlfriend
She's like, “Oh my God!” But I'm just gonna shake
And to the fella over there with the hella good hair
Won't you come on over, baby?
We can shake, shake, shake
Yeah, oh, oh, oh

'Cause the players gonna play, play, play, play, play
And the haters gonna hate, hate, hate, hate, hate
(Haters gonna hate)
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off
Heartbreakers gonna break, break, break, break, break (Mmm)
And the fakers gonna fake, fake, fake, fake, fake
(And fake, and fake, and fake)
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off
Shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off
Shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off (Yeah)
Shake it off, I shake it off
I, I, I shake it off, I shake it off (You got to)
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off
219EmbedShare URLCopyEmbedCopy"
​r​ight where you left me,"Friends break up, friends get married
Strangers get born, strangers get buried
Trends change, rumors fly through new skies
But I'm right where you left me
Matches burn after the other
Pages turn and stick to each other
Wages earned and lessons learned
But I, I'm right where you left me

Help, I'm still at the restaurant
Still sitting in a corner I haunt
Cross-legged in the dim light
They say, ""What a sad sight""
I, I swear you could hear a hair pin drop
Right when I felt the moment stop
Glass shattered on the white cloth
Everybody moved on, I, I stayed there
Dust collected on my pinned-up hair
They expected me to find somewhere
Some perspective, but I sat and stared

Right where you left me
You left me no, you left me no
You left me no choice but to stay here forever
You left me, you left me no, oh, you left me no
You left me no choice but to stay here forever
Did you ever hear about the girl who got frozen?
Time went on for everybody else, she won't know it
She's still twenty-three inside her fantasy
How it was supposed to be
Did you hear about the girl who lives in delusion?
Breakups happen every day, you don't have to lose it
She's still twenty-three inside her fantasy
And you're sitting in front of me

At the restaurant when I was still the one you want
Cross-legged in the dim light, everything was just right
I, I could feel the mascara run
You told me that you met someone
Glass shattered on the white cloth
Everybody moved on

Help, I'm still at the restaurant
Still sitting in a corner I haunt
Cross-legged in the dim light
They say, ""What a sad sight""
I, I stayed there
Dust collected on my pinned-up hair
I'm sure that you got a wife out there
Kids and Christmas, but I'm unaware
'Cause I'm right where I cause no harm
Mind my business
If our love died young
I can't bear witness
And it's been so long
But if you ever think you got it wrong
I'm right where
You left me
You left me no, oh, you left me no
You left me no choice but to stay here forever
You left me
You left me no, oh, you left me no
You left me no choice but to stay here forever39EmbedShare URLCopyEmbedCopy"
It’s Nice to Have a Friend,"Ooh
Ooh

School bell rings, walk me home
Sidewalk chalk covered in snow
Lost my gloves, you give me one
""Wanna hang out?"" Yeah, sounds like fun
Video games, you pass me a note
Sleeping in tents

It's nice to have a friend (Ooh)
It's nice to have a friend (Ooh)

Light pink sky, up on the roof
Sun sinks down, no curfew
20 questions, we tell the truth
You've been stressed out lately, yeah, me too
Something gave you the nerve
To touch my hand

It's nice to have a friend (Ooh)
It's nice to have a friend (Ooh)

Church bells ring, carry me home
Rice on the ground looks like snow
Call my bluff, call you ""Babe""
Have my back, yeah, every day
Feels like home, stay in bed
The whole weekend

It's nice to have a friend (Ooh)
It's nice to have a friend (Ooh)
It's nice to have a friend (Ooh)
(Ooh)38EmbedShare URLCopyEmbedCopy"
Why She Disappeared [Poem],"When she fell, she fell apart.
Cracked her bones on the pavement she once decorated
as a child with sidewalk chalk
When she crashed, her clothes disintegrated and blew away
with the winds that took all of her fair-weather friends
When she looked around, her skin was spattered with ink
forming the words of a thousand voices
Echoes she heard even in her sleep:
""Whatever you say, it is not right.""
""Whatever you do, it is not enough.""
""Your kindness is fake.""
""Your pain is manipulative.""
When she lay there on the ground,
She dreamed of time machines and revenge
and a love that was really something,
Not just the idea of something.
When she finally rose, she rose slowly
Avoiding old haunts and sidestepping shiny pennies
Wary of phone calls and promises,
Charmers, dandies and get-love-quick-schemes
When she stood, she stood with a desolate knowingness
Waded out into the dark, wild ocean up to her neck
Bathed in her brokenness
Said a prayer of gratitude for each chink in the armor
she never knew she needed
Standing broad-shouldered next to her
was a love that was really something,
not just the idea of something.
When she turned to go home,
She heard the echoes of new words
""May your heart remain breakable
But never by the same hand twice""
And even louder:
""without your past,
you could never have arrived-
so wondrously and brutally,
By design or some violent, exquisite happenstance
...here.""
And in the death of her reputation,
She felt truly alive.26EmbedShare URLCopyEmbedCopy"
I Knew You Were Trouble.,"Once upon a time, a few mistakes ago
I was in your sights, you got me alone
You found me, you found me, you found me
I guess you didn't care, and I guess I liked that
And when I fell hard, you took a step back
Without me, without me, without me

And he's long gone when he's next to me
And I realize the blame is on me

'Cause I knew you were trouble when you walked in
So shame on me now
Flew me to places I'd never been
'Til you put me down, oh
I knew you were trouble when you walked in
So shame on me now
Flew me to places I'd never been
Now I'm lying on the cold hard ground

Oh, oh-oh
Trouble, trouble, trouble
Oh, oh-oh
Trouble, trouble, trouble
No apologies, he'll never see you cry
Pretends he doesn't know that he's the reason why
You're drowning, you're drowning, you're drowning
And I heard you moved on from whispers on the street
A new notch in your belt is all I'll ever be
And now I see, now I see, now I see

He was long gone when he met me
And I realize the joke is on me, hey

I knew you were trouble when you walked in (Oh)
So shame on me now
Flew me to places I'd never been
'Til you put me down, oh
I knew you were trouble when you walked in
So shame on me now
Flew me to places I'd never been (Yeah)
Now I'm lying on the cold hard ground

Oh, oh-oh (Yeah)
Trouble, trouble, trouble
Oh, oh-oh
Trouble, trouble, trouble
And the saddest fear
Comes creeping in
That you never loved me
Or her, or anyone, or anything
Yeah

I knew you were trouble when you walked in
So shame on me now
Flew me to places I'd never been (Never been)
'Til you put me down, oh
I knew you were trouble when you walked in (Knew it right there)
So shame on me now (Knew it right there)
Flew me to places I'd never been (Ooh)
Now I'm lying on the cold hard ground

Oh, oh-oh
Trouble, trouble, trouble (Oh)
Oh, oh-oh
Trouble, trouble, trouble
I knew you were trouble when you walked in
Trouble, trouble, trouble
I knew you were trouble when you walked in
Trouble, trouble, trouble
101EmbedShare URLCopyEmbedCopy"
​it’s time to go,"When the dinner is cold and the chatter gets old
You ask for the tab
Or that moment again, he's insisting that friends
Look at each other like that
When the words of a sister come back in whispers
That prove she was not in fact what she seemed
Not a twin from your dreams
She's a crook who was caught

That old familiar body ache
The snaps from the same little breaks in your soul
You know when it's time to go

Twenty years at your job
Then the son of the boss gets the spot that was yours
Or trying to stay for the kids
When keeping it how it is will only break their hearts worse

That old familiar body ache
The snaps from the same little breaks in your soul
You know when it's time to go
Sometimes giving up is the strong thing
Sometimes to run is the brave thing
Sometimes walking out is the one thing
That will find you the right thing
Sometimes giving up is the strong thing
Sometimes to run is the brave thing
Sometimes walking out is the one thing
That will find you the right thing

Fifteen years, fifteen million tears
Begging 'til my knees bled
I gave it my all, he gave me nothing at all
Then wondered why I left
Now he sits on his throne in his palace of bones
Praying to his greed
He's got my past frozen behind glass
But I've got me

That old familiar body ache
The snaps from the same little breaks in my soul
I know when it's time to go

Sometimes giving up is the strong thing
Sometimes to run is the brave thing
Sometimes walking out is the one thing
That will find you the right thing
Sometimes giving up is the strong thing
Sometimes to run is the brave thing
Sometimes walking out is the one thing
That will find you the right thing
That will find you the right thing
And you know in your soul
You know in your soul
When it's time to go
You know, you know, you know, you know
When it's time to go
So then you go
Then you go
You just go19EmbedShare URLCopyEmbedCopy"
We Are Never Ever Getting Back Together,"I remember when we broke up the first time
Saying, ""This is it, I've had enough,"" 'cause like
We hadn't seen each other in a month
When you said you needed space (What?)
Then you come around again and say
""Baby, I miss you and I swear I'm gonna change, trust me""
Remember how that lasted for a day?
I say, ""I hate you,"" we break up, you call me, I love you

Ooh-ooh-ooh-ooh-ooh
We called it off again last night, but
Ooh-ooh-ooh-ooh-ooh
This time, I'm telling you, I'm telling you

We are never, ever, ever getting back together
We are never, ever, ever getting back together
You go talk to your friends, talk to my friends, talk to me
But we are never, ever, ever, ever
Getting back together
Like, ever

I'm really gonna miss you picking fights
And me falling for it, screaming that I'm right
And you would hide away and find your peace of mind
With some indie record that's much cooler than mine
Ooh-ooh-ooh-ooh-ooh
You called me up again tonight, but
Ooh-ooh-ooh-ooh-ooh
This time, I'm telling you, I'm telling you

We (We) are never, ever, ever getting back together
We are never, ever, ever getting back together
You go talk to your friends, talk to my friends, talk to me
(Talk to me) But we are never, ever, ever, ever
Getting back together

Ooh-ooh-ooh-ooh-ooh (Yeah)
Ooh-ooh-ooh-ooh-ooh-ooh (Yeah)
Ooh-ooh-ooh-ooh-ooh (Yeah)
Oh-oh-oh

I used to think that we were forever, ever
And I used to say, ""Never say never""
Ugh, so he calls me up and he's like, ""I still love you""
And I'm like, ""I just, I mean, this is exhausting, you know?
Like, we are never getting back together, like, ever""
(No) We are never, ever, ever getting back together
We are never, ever, ever (Ooh) getting back together
You go talk to your friends, talk to my friends, talk to me
But we are never, ever, ever, ever
Getting back together

We (Ooh-ooh-ooh-ooh-ooh, ooh-ooh-ooh, no)
Getting back together
We (Ooh-ooh-ooh-ooh-ooh, oh, oh)
Getting back together (Yeah)
You go talk to your friends, talk to my friends, talk to me
(Talk to me) But we are never, ever, ever, ever
Getting back together64EmbedShare URLCopyEmbedCopy"
New Romantics,"We're all bored, we're all so tired of everything
We wait for trains that just aren't coming
We show off our different scarlet letters
Trust me, mine is better
We're so young, but we're on the road to ruin
We play dumb, but we know exactly what we're doing
We cry tears of mascara in the bathroom
Honey, life is just a classroom
(Ah, ah, ah, ah, ah, ah)

'Cause baby, I could build a castle
Out of all the bricks they threw at me
And every day is like a battle
But every night with us is like a dream
Baby, we're the new romantics
Come on, come along with me
Heartbreak is the national anthem
We sing it proudly
We are too busy dancing to get knocked off our feet
Baby, we're the new romantics
The best people in life are free

We're all here, the lights and noise are blinding
We hang back, it's all in the timing
It's poker
He can't see it in my face
But I'm about to play my Ace (Ahh)
We need love, but all we want is danger
We team up, then switch sides like a record changer
The rumors are terrible and cruel
But honey, most of them are true
(Ah, ah, ah, ah, ah, ah)
'Cause baby, I could build a castle
Out of all the bricks they threw at me
And every day is like a battle
But every night with us is like a dream
Baby, we're the new romantics
Come on, come along with me
Heartbreak is the national anthem
We sing it proudly
We are too busy dancing (Yeah) to get knocked off our feet
Baby, we're the new romantics
The best people in life are free

(Oh, oh, oh-oh, oh)
Oh-oh
(Oh, oh, oh-oh, oh)
So, come on, come along with me
(Oh, oh, oh-oh, oh)
The best people in life are free
(Oh, oh, oh-oh, oh)

Please take my hand and
Please take me dancing, and
Please leave me stranded
It's so romantic (it's so romantic)
(Ah, ah, ah, ah, ah, ah)
Oh, 'cause baby, I could build a castle
Out of all the bricks they threw at me
And every day is like a battle, oh-oh
But every night with us is like a dream

'Cause baby, I could build a castle (castle)
Out of all the bricks they threw at me
And every day is like a battle
But every night with us is like a dream
Baby, we're the new romantics
Come on, come along with me
Heartbreak is the national anthem
We sing it proudly
We are too busy dancing to get knocked off our feet
Baby, we're the new romantics
The best people in life are free195EmbedShare URLCopyEmbedCopy"
You All Over Me (Taylor’s Version) [From the Vault],"Once the last drop of rain has dried off the pavement
Shouldn't I find a stain, but I never do
The way the tires turn stones on old county roads
They leave 'em muddy underneath, reminds me of you
You find graffiti on the walls of old bathroom stalls
You know, you can scratch it right off, it's how it used to be
But like the dollar in your pocket, it's been spent and traded in
You can't change where it's been, reminds me of me

I lived, and I learned, had you, got burned
Held out, and held on
God knows, too long, and wasted time
Lost tears, swore that I'd get out of here
But no amount of freedom gets you clean
I've still got you all over me

The best and worst day of June
Was the one that I met you
With your hands in your pockets
And your ""Don't you wish you had me?"" grin
Well I did, so I smiled
And I melted like a child
Now every breath of air I breathe reminds me of then
And I lived, and I learned, had you, got burned
Held out, and held on
God knows, too long, and wasted time
Lost tears, swore that I'd get out of here
But no amount of freedom gets you clean
I've still got you all over me


I lived, and I learned
And found out what it was to turn around
And see that we
Were never really meant to be
So I lied, and I cried
And I watched a part of myself die
'Cause no amount of freedom gets you clean
I've still got you all over me

I've still got you all over me
Still got you all over me31EmbedShare URLCopyEmbedCopy"
22,"It feels like a perfect night
To dress up like hipsters
And make fun of our exes, uh-uh, uh-uh
It feels like a perfect night
For breakfast at midnight
To fall in love with strangers, uh-uh, uh-uh

Yeah
We're happy, free, confused, and lonely at the same time
It's miserable and magical, oh, yeah
Tonight's the night when we forget about the deadlines
It's time, oh-oh

I don't know about you, but I'm feeling 22
Everything will be alright if you keep me next to you
You don't know about me, but I'll bet you want to
Everything will be alright if we just keep dancing like we're
22, 22

It seems like one of those nights
This place is too crowded
Too many cool kids, uh-uh, uh-uh
(Who's Taylor Swift, anyway? Ew)
It seems like one of those nights
We ditch the whole scene
And end up dreaming
Instead of sleeping
Yeah
We're happy, free, confused, and lonely in the best way
It's miserable and magical, oh, yeah
Tonight's the night when we forget about the heartbreaks
It's time, oh-oh

(Hey!)
I don't know about you, but I'm feeling 22
Everything will be alright (Ooh) if you keep me next to you
You don't know about me, but I'll bet you want to
Everything will be alright if (Alright)
We just keep dancing like we're 22 (Oh, oh, oh, oh, oh)
22 (I don't know about you)
22, 22

It feels like one of those nights
We ditch the whole scene
It feels like one of those nights
We won't be sleeping
It feels like one of those nights
You look like bad news
I gotta have you
I gotta have you
Ooh, ooh, yeah
(Hey!)
I don't know about you, but I'm feeling 22
Everything will be alright if (Ooh) you keep me next to you
You don't know about me, but I'll bet you want to
Everything will be alright if we just keep dancing like we're
22 (Whoa, oh)
22 (Dancing like)
22 (Yeah, yeah), 22, (Yeah, yeah, yeah)

It feels like one of those nights
We ditch the whole scene
It feels like one of those nights
We won't be sleeping
It feels like one of those nights
You look like bad news
I gotta have you
I gotta have you81EmbedShare URLCopyEmbedCopy"
Wonderland,"Flashing lights and we
Took a wrong turn and we
Fell down a rabbit hole
You held on tight to me
'Cause nothing's as it seems
And spinning out of control
Didn't they tell us don't rush into things?
Didn't you flash your green eyes at me?
Haven't you heard what becomes of curious minds?
Ooh, didn't it all seem new and exciting?
I felt your arms twistin' around me
I should have slept with one eye open at night

We found Wonderland
You and I got lost in it
And we pretended it could last forever (Eh, eh)
We found Wonderland
You and I got lost in it
And life was never worse but never better (Eh, eh)

(Eh, eh, eh, eh, eh)
In Wonderland
(Eh, eh, eh, eh, eh)
In Wonderland
(Eh, eh, eh, eh, eh)
In Wonderland
(Eh, eh, eh, eh, eh)
In Wonderland
So we went on our way
Too in love to think straight
All alone, or so it seemed
But there were strangers watching
And whispers turned to talking
And talking turned to screams, oh

Didn't they tell us don't rush into things?
Didn't you flash your green eyes at me?
Didn't you calm my fears with a Cheshire cat smile?
Ooh, didn't it all seem new and exciting?
I felt your arms twistin' around me
It's all fun and games 'til somebody loses their mind
But darlin'

We found Wonderland
You and I got lost in it
And we pretended it could last forever (Eh, eh)
We found Wonderland
You and I got lost in it
And life was never worse but never better (Eh, eh)

(Eh, eh, eh, eh, eh)
In Wonderland
(Eh, eh, eh, eh, eh)
In Wonderland
(Eh, eh, eh, eh, eh)
In Wonderland
(Eh, eh, eh, eh, eh)
Whoa, in Wonderland
I reached for you, but you were gone
I knew I had to go back home
You searched the world for something else
To make you feel like what we had
And in the end, in Wonderland
We both went mad
Oh

We found Wonderland
You and I got lost in it
And we pretended it could last forever
Last forever (Eh, eh)
We found Wonderland
You and I got lost in it (Got lost in it)
And life was never worse but never better
Never better (Eh, eh)
(Eh, eh, eh, eh, eh)

We found Wonderland
You and I got lost in it
(Eh, eh, eh, eh, eh)
And we pretended it could last forever (In Wonderland)
(Eh, eh, eh, eh, eh)
We found Wonderland
You and I got lost in it
(Eh, eh, eh, eh, eh)
And life was never worse but never better
In Wonderland179EmbedShare URLCopyEmbedCopy"
You Are in Love,"One look, dark room
Meant just for you
Time moved too fast, you play it back
Buttons on a coat, lighthearted joke
No proof, not much, but you saw enough
Small talk, he drives
Coffee at midnight
The light reflects the chain on your neck
He says, ""Look up""
And your shoulders brush
No proof, one touch, but you felt enough

You can hear it in the silence (Silence), silence (Silence), you
You can feel it on the way home (Way home), way home (Way home), you
You can see it with the lights out (Lights out), lights out (Lights out)
You are in love, true love
You are in love

Morning, his place
Burnt toast, Sunday
You keep his shirt, he keeps his word
And for once, you let go
Of your fears and your ghosts
One step, not much, but it said enough
You kiss on sidewalks
You fight and you talk
One night, he wakes
Strange look on his face
Pauses, then says ""You're my best friend""
And you knew what it was, he is in love
You can hear it in the silence (Silence), silence (Silence), you
You can feel it on the way home (Way home), way home (Way home), you
You can see it with the lights out (Lights out), lights out (Lights out)
You are in love, true love

And so it goes
You two are dancing in a snow globe, 'round and 'round
And he keeps a picture of you in his office downtown
And you understand now
Why they lost their minds and fought the wars
And why I've spent my whole life trying to put it into words

'Cause you can hear it in the silence
You can feel it on the way home
You can see it with the lights out
You are in love, true love
You are in love

You can hear it in the silence (Silence), silence (Silence), you
You can feel it on the way home (Way home), way home (Way home), you
You can see it with the lights out (Lights out), lights out (Lights out)
You are in love, true love
You are in love
You can hear it in the silence (Silence), silence (Silence), you
You can feel it on the way home (Way home), way home (Way home), you
You can see it with the lights out (Lights out), lights out (Lights out)
You are in love, true love
You are in love99EmbedShare URLCopyEmbedCopy"
Dear John,"Long were the nights when
My days once revolved around you
Counting my footsteps
Praying the floor won't fall through... again
My mother accused me of losing my mind
But I swore I was fine
You paint me a blue sky
Then go back and turn it to rain
And I lived in your chess game
But you changed the rules everyday
Wonderin' which version of you I might get on the phone, tonight
Well I stopped pickin' up and this song is to let you know why

Dear John, I see it all now that you're gone
Don't you think I was too young to be messed with?
The girl in the dress cried the whole way home
I shoulda known

Well maybe it's me
And my blind optimism to blame
Or maybe it's you and your sick need
To give love and take it away
And you'll add my name to your long list of traitors
Who don't understand
And I look back in regret how I ignored when they said
""Run as fast as you can""
Dear John, I see it all now that you're gone
Don't you think I was too young to be messed with?
The girl in the dress cried the whole way home
Dear John, I see it all now, it was wrong
Don't you think nineteen's too young
To be played by your dark, twisted games
When I loved you so?
I shoulda known

You are an expert at sorry
And keeping lines blurry
Never impressed by me acing your tests
All the girls that you've run dry have tired lifeless eyes
'Cause you burned them out
But I took your matches
Before fire could catch me
So don't look now
I'm shining like fireworks
Over your sad empty town, yeah
Oh, oh, oh, oh, oh, oh

Dear John, I see it all now that you're gone
Don't you think I was too young to be messed with?
The girl in the dress cried the whole way home
I see it all now that you're gone
Don't you think I was too young to be messed with?
The girl in the dress wrote you a song
You shoulda known
You shoulda known
Don't you think I was too young?
You shoulda known41EmbedShare URLCopyEmbedCopy"
This Love,"Clear blue water
High tide came and brought you in
And I could go on and on, on and on and I will
Skies grew darker
Currents swept you out again
And you were just gone and gone, gone and gone

In silent screams and wildest dreams
I never dreamed of this

This love is good, this love is bad
This love is alive back from the dead, oh-oh, oh
These hands had to let it go free, and
This love came back to me, oh-oh, oh
Oh-oh, oh, oh-oh, oh

Tossing, turning
Struggled through the night with someone new
And I could go on and on, on and on
Lantern, burning
Flickered in my mind, only you
But you were still gone, gone, gone
Been losing grip, on sinking ships
You showed up just in time

This love is good, this love is bad
This love is alive back from the dead, oh-oh, oh
These hands had to let it go free, and
This love came back to me, oh-oh, oh
This love left a permanent mark
This love is glowing in the dark, oh-oh, oh
These hands had to let it go free, and
This love came back to me, oh-oh, oh

(This love, this love, this love, this love, oh)
(This love, this love, this love, this love, oh)
(This love, this love, this love, this love, oh)
(This love, this love, this love, this love, oh)

Your kiss, my cheek
I watched you leave
Your smile, my ghost
I fell to my knees
When you're young, you just run
But you come back to what you need
This love is good, this love is bad
This love is alive back from the dead, oh-oh, oh
These hands had to let it go free, and
This love came back to me, oh-oh, oh
(This love) This love left a permanent mark
(This love) This love is glowing in the dark, oh-oh, oh
(This love) These hands had to let it go free, and
(This love) This love came back to me, oh-oh, oh

(This love, this love, this love, this love, oh)
(This love, this love, this love, this love, oh)
(This love, this love, this love, this love)
This love, this love came back to me, oh-oh, oh73EmbedShare URLCopyEmbedCopy"
State of Grace,"I'm walking fast through the traffic lights
Busy streets and busy lives
And all we know is touch and go
We are alone with our changing minds
We fall in love 'til it hurts or bleeds
Or fades in time

And I never (Never)
Saw you coming
And I’ll never (Never)
Be the same

You come around and the armor falls
Pierce the room like a cannonball
Now all we know is don’t let go
We are alone, just you and me
Up in your room and our slates are clean
Just twin fire signs, four blue eyes

So you were never a saint
And I've loved in shades of wrong
We learn to live with the pain
Mosaic broken hearts
But this love is brave and wild
And I never (Never)
Saw you coming
And I’ll never (Never)
Be the same

This is a state of grace
This is the worthwhile fight
Love is a ruthless game
Unless you play it good and right
These are the hands of fate
You’re my Achilles heel
This is the golden age
Of something good and right and real

And I never (Never)
Saw you coming
And I’ll never
Be the same

And I never (Never)
Saw you coming
And I’ll never (So you were never a saint)
(And I've loved in shades of wrong)
Be the same (We learn to live with the pain)
(Mosaic broken hearts)
(But this love is brave and wild)
This is a state of grace
This is the worthwhile fight
Love is a ruthless game
Unless you play it good and right43EmbedShare URLCopyEmbedCopy"
