title,lyrics
My Own Version of You,"All through the summers, into January
I've been visiting morgues and monasteries
Looking for the necessary body parts
Limbs and livers and brains and hearts
I'll bring someone to life, is what I wanna do
I wanna create my own version of you
Well, it must be the winter of my discontent
I wish you'd've taken me with you wherever you went
They talk all night and they talk all day
Not for a minute do I believe anything they say
I'm gon' bring someone to life, someone I've never seen
You know what I mean, you know exactly what I mean
I'll take the Scarface Pacino and The Godfather Brando
Mix it up in a tank and get a robot commando
If I do it up right and put the head on straight
I'll be saved by the creature that I create
I'll get blood from a cactus, gunpowder from ice
I don't gamble with cards and I don't shoot no dice
Can you look at my face with your sightless eyes?
Can you cross your heart and hope to die?
I'll bring someone to life, someone for real
Someone who feels the way that I feel
I study Sanskrit and Arabic to improve my mind
I wanna do things for the benefit of all mankind
I say to the willow tree, ""Don't weep for me""
I'm saying to hell to all things that I used to be
Well, I get into trouble, then I hit the wall
No place to turn, no place at all
I'll pick a number between a-one and two
And I ask myself, ""What would Julius Caesar do?""
I will bring someone to life in more ways than one
Don't matter how long it takes, it'll be done when it's done
I'm gonna make you play the piano like Leon Russell
Like Liberace, like St. John the Apostle
I'll play every number that I can play
I'll see you maybe on Judgment Day
After midnight, if you still wanna meet
I'll be at the Black Horse Tavern on Armageddon Street
Two doors down, not that far to walk
I'll hear your footsteps, you won't have to knock
I'll bring someone to life, balance the scales
I'm not gonna get involved any insignificant details
You can bring it to St. Peter
You can bring it to Jerome
You can bring it all the way over
Bring it all the way home
Bring it to the corner where the children play
You can bring it to me on a silver tray
I'll bring someone to life, spare no expense
Do it with decency and common sense
Can you tell me what it means, to be or not to be?
You won't get away with fooling me
Can you help me walk that moonlight mile?
Can you give me the blessings of your smile?
I'll bring someone to life, use all of my powers
Do it in the dark, in the wee, small hours
I can see the history of the whole human race
It's all right there, it's carved into your face
Should I break it all down? Should I fall on my knees?
Is there light at the end of the tunnel, can you tell me, please?
Stand over there by the cypress tree
Where the Trojan women and children were sold into slavery
Long before the first Crusade
Way back before England or America were made
Step right into the burning hell
Where some of the best-known enemies of mankind dwell
Mr. Freud with his dreams, Mr. Marx with his ax
See the raw hide lash rip the skin from their backs
Got the right spirit, you can feel it, you can hear it
You've got what they call the immortal spirit
You can feel it all night, you can feel it in the morn'
It creeps in your body the day you were born
One strike of lightning is all that I need
And a blast of electricity that runs at top speed
Show me your ribs, I'll stick in the knife
Gonna jumpstart my creation to life
I wanna bring someone to life, turn back the years
Do it with laughter and do it with tears3EmbedShare URLCopyEmbedCopy"
Stuck Inside of Mobile with the Memphis Blues Again,"Oh, the ragman draws circles
Up and down the block
I'd ask him what the matter was
But I know that he don't talk
And the ladies treat me kindly
And they furnish me with tape
But deep inside my heart
I know I can't escape

Oh, Mama
Can this really be the end?
To be stuck inside of Mobile
With the Memphis blues again

Well, Shakespeare, he's in the alley
With his pointed shoes and his bells
Speaking to some French girl
Who says she knows me well
And I would send a message
To find out if she's talked
But the post office has been stolen
And the mailbox is locked
Oh, Mama
Can this really be the end?
To be stuck inside of Mobile
With the Memphis blues again

Mona tried to tell me
To stay away from the train line
She said that all the railroad men
Just drink up your blood like wine
And I said, ""Oh, I didn't know that
But then again, there's only one I've met
And he just smoked my eyelids
And punched my cigarette""

Oh, Mama
Can this really be the end?
To be stuck inside of Mobile
With the Memphis blues again

Grandpa died last week
And now he's buried in the rocks
But everybody still talks about
How badly they were shocked
But me, I expected it to happen
I knew he'd lost control
When I sp— he'd built a fire on Main Street
And shot it full of holes
Oh, Mama
Can this really be the end?
To be stuck inside of Mobile
With the Memphis blues again

Now the senator came down here
Showing everyone his gun
Handing out free tickets
To the wedding of his son
And me, I nearly got busted
And wouldn't it be my luck
To get caught without a ticket
And be discovered beneath a truck

Oh, Mama
Is this really the end?
To be stuck inside of Mobile
With the Memphis blues again

Now the tea preacher looked so baffled
When I asked him why he dressed
With twenty pounds of headlines
Stapled to his chest
But he cursed me when I proved to him
Then I whispered, said, ""Not even you can hide
You see, you're just like me
I hope you're satisfied""
Oh, Mama
Can this really be the end?
To be stuck inside of Mobile
With the Memphis blues again

Now the rainman gave me two cures
Then he said, ""Jump right in""
The one was Texas medicine
The other was just railroad gin
And like a fool I mixed them
And it strangled up my mind
And now people just get uglier
And I have no sense of time

Oh, Mama
Can this really be the end?
To be stuck inside of Mobile
With the Memphis blues again

Now when Ruthie says come see her
In her honky-tonk lagoon
Where I can watch her waltz for free
'Neath her Panamanian moon
And I say, ""Aw, come on now
You know you know about my debutante""
And she says, ""Your debutante just knows what you need
But I know what you want""

Oh, Mama
Can this really be the end?
To be stuck inside of Mobile
With the Memphis blues again

Now the bricks lay on Grand Street
Where the neon madmen climb
They all fall there so perfectly
It all seems so well timed
And here I sit so patiently
Waiting to find out what price
You have to pay to get out of
Going through all these things twice

Oh, Mama
Is this really the end?
To be stuck here inside of Mobile
With the Memphis blues again10EmbedShare URLCopyEmbedCopy"
Maggie’s Farm,"I ain't gonna work on Maggie's farm no more
No, I ain't gonna work on Maggie's farm no more
Well, I wake up in the morning
Fold my hands and pray for rain
I got a head full of ideas
That are drivin' me insane

It's a shame the way she makes me scrub the floor
I ain't gonna work on Maggie's farm no more

I ain't gonna work for Maggie's brother no more
No, I ain't gonna work for Maggie's brother no more
Well, he hands you a nickel
He hands you a dime
He asks you with a grin
If you're having a good time

Then he fines you every time you slam the door
I ain't gonna work for Maggie's brother no more

I ain't gonna work for Maggie's Pa no more
No, I ain't gonna work for Maggie's Pa no more
Well, he puts his cigar
Out in your face just for kicks
His bedroom window
It is made out of bricks
The National Guard stands around his door
Ah, I ain't gonna work for Maggie's Pa no more

I ain't gonna work for Maggie's Ma no more
No, I ain't gonna work for Maggie's Ma no more
Well, she talks to all the servants
About man and God and law
Everybody says
She's the brains behind Pa

She's 68, but she says she's 54
I ain't gonna work for Maggie's Ma no more

I ain't gonna work on Maggie's farm no more
I ain't gonna work on Maggie's farm no more
Well, I try my best
To be just like I am
But everybody wants you
To be just like them

They say ""Sing while you slave"" and I just get bored
Ah, I ain't gonna work on Maggie's farm no more5EmbedShare URLCopyEmbedCopy"
False Prophet,"Another day that don't end
Another ship goin' out
Another day of anger, bitterness, and doubt
I know how it happened
I saw it begin
I opened my heart to the world and the world came in

Hello, Mary Lou
Hello, Miss Pearl
My fleet-footed guides from the underworld
No stars in the sky shine brighter than you
You girls mean business and I do too

Well, I'm the enemy of treason
An enemy of strife
I'm the enemy of the unlived meaningless life
I ain't no false prophet
I just know what I know
I go where only the lonely can go

I'm first among equals
Second to none
The last of the best
You can bury the rest
Bury 'em naked with their silver and gold
Put 'em six feet under and I pray for their souls
What are you lookin' at?
There's nothing to see
Just a cool breeze that's encircling me
Let's go for a walk in the garden
So far and so wide
We can sit in the shade by the fountain-side

I search the world over
For the Holy Grail
I sing songs of love
I sing songs of betrayal
Don't care what I drink
I don't care what I eat
I climb the mountains with swords on my bare feet

You don't know me, darlin'
You never would guess
I'm nothing like my ghostly appearance would suggest
I ain't no false prophet
I just said what I said
I'm just here to bring vengeance on somebody's head

Put out your hand
There's nothing to hold
Open your mouth
I'll stuff it with gold
Oh, you poor devil, look up if you will
The city of God is there on the hill
Hello, stranger
Hello and goodbye
You ruled the land
But so do I
You lusty old mule
You got a poisoned brain
I'll marry you to a ball and chain

You know, darlin'
The kind of life that I live
When your smile meets my smile
Something's got to give
I ain't no false prophet
No, I'm nobody's bride
Can't remember when I was born
And I forgot when I died7EmbedShare URLCopyEmbedCopy"
Forever Young (Slow Version),"May God bless and keep you always
May your wishes all come true
May you always do for others
And let others do for you
May you build a ladder to the stars
And climb on every rung
May you stay forever young
Forever young, forever young
May you stay forever young

May you grow up to be righteous
May you grow up to be true
May you always know the truth
And see the lights surrounding you
May you always be courageous
Stand upright and be strong
May you stay forever young
Forever young, forever young
May you stay forever young

May your hands always be busy
May your feet always be swift
May you have a strong foundation
When the winds of changes shift
May your heart always be joyful
May your song always be sung
May you stay forever young
Forever young, forever young
May you stay forever young10EmbedShare URLCopyEmbedCopy"
Positively 4th Street,"You got a lot of nerve
To say you are my friend
When I was down
You just stood there grinning

You got a lot of nerve
To say you got a helping hand to lend
You just want to be on
The side that’s winning

You say I let you down
You know it’s not like that
If you’re so hurt
Why then don’t you show it?

You say you lost your faith
But that’s not where it’s at
You had no faith to lose
And you know it

I know the reason
That you talk behind my back
I used to be among the crowd
You’re in with
Do you take me for such a fool
To think I’d make contact
With the one who tries to hide
What he don’t know to begin with

You see me on the street
You always act surprised
You say “How are you? Good luck!”
But you don’t mean it

When you know as well as me
You’d rather see me paralyzed
Why don’t you just come out once
And scream it

No, I do not feel that good
When I see the heartbreaks you embrace
If I was a master thief
Perhaps I’d rob them

And now I know you’re dissatisfied
With your position and your place
Don’t you understand
It’s not my problem
I wish that for just one time
You could stand inside my shoes
And just for that one moment
I could be you

Yes, I wish that for just one time
You could stand inside my shoes
You’d know what a drag it is
To see you8EmbedShare URLCopyEmbedCopy"
I’ve Made Up My Mind to Give Myself to You,"I'm sittin' on my terrace, lost in the stars
Listening to the sounds of the sad guitars
Been thinking it all over and I've thought it all through
I've made up my mind to give myself to you
I saw the first fall of snow
I saw the flowers come and go
I don't think that anyone ever else ever knew
I've made up my mind to give myself to you
I'm giving myself to you, I am
From Salt Lake City to Birmingham
From East L.A. to San Antone
I don't think I can bear to live my life alone
My eye is like a shooting star
It looks at nothin' here or there, looks at nothin' near or far
No one ever told me, it's just something I knew
I've made up my mind to give myself to you
If I had the wings of a snow white dove
I'd preach the gospel, the gospel of love
A love so real, a love so true
I've made up my mind to give myself to you
Take me out traveling, you're a traveling man
Show me something I don't understand
I'm not what I was, things aren't what they were
I'll go far away from home with her
I traveled a long road of despair
I met no other traveler there
Lot of people gone, lot of people I knew
I've made up my mind to give myself to you
Well, my heart's like a river, a river that sings
Just takes me a while to realize things
I've seen the sunrise, I've seen the dawn
I'll lay down beside you when everyone's gone
I've traveled from the mountains to the sea
I hope that the gods go easy with me
I knew you'd say yes, I'm saying it too
I've made up my mind to give myself to you3EmbedShare URLCopyEmbedCopy"
Just Like Tom Thumb’s Blues,"When you're lost in the rain in Juarez
When it's Easter time too
And your gravity fails
And negativity don't pull you through
Don't put on any airs
When you're down on Rue Morgue Avenue
They got some hungry women there
And they really make a mess outta you

Now if you see Saint Annie
Please tell her ""Thanks a lot""
I cannot move
My fingers are all in a knot
I don't have the strength
To get up and take another shot
And my best friend, my doctor
Won't even say what it is I've got

Sweet Melinda
The peasants call her the Goddess of Gloom
She speaks good English
And she invites you up into her room
And you're so kind
And careful not to go to her too soon
And she takes your voice
And leaves you howling at the moon
Up on Housing Project Hill
It's either fortune or fame
You must pick one or the other
Though neither of them are to be what they claim
If you're lookin' to get silly
You better go back to from where you came
Because the cops don't need you
And man, they expect the same

Now all the authorities
They just stand around and boast
How they blackmailed the Sergeant-at-Arms
Into leaving his post
And picking up Angel
Who just arrived here from the coast
Who looked so fine at first
But left lookin' just like a ghost

I started out on Burgundy
But soon hit the harder stuff
Everybody said they'd stand behind me
When the game got rough
But the joke was on me
There was nobody even there to bluff
I'm going back to New York City
I do believe I've had enough11EmbedShare URLCopyEmbedCopy"
You Belong to Me,"See the pyramids along the Nile
Watch the sun rise from a tropic isle
Just remember, darling, all the while
You belong to me
See the market place in old Algiers
Send me photographs and souvenirs
Just remember when a dream appears
You belong to me
I'll be so alone without you
Maybe you'll be lonesome too... and blue
Fly the ocean in a silver plane
See the jungle when it's wet with rain
Just remember till you're home again
You belong to me
I'll be so alone without you
Maybe you'll be lonesome too... and blue
Fly the ocean in a silver plane
See the jungle when it's wet with rain
Just remember till you're home again
You belong to me2EmbedShare URLCopyEmbedCopy"
Sad-Eyed Lady of the Lowlands,"With your mercury mouth in the missionary times
And your eyes like smoke and your prayers like rhymes
And your silver cross, and your voice like chimes
Oh, who do they think could bury you?
With your pockets well protected at last
And your streetcar visions which ya place on the grass
And your flesh like silk, and your face like glass
Who could they get to carry you?

Sad-eyed lady of the lowlands
Where the sad-eyed prophet says that no man comes
My warehouse eyes, my Arabian drums
Should I put them by your gate?
Or, sad-eyed lady, should I wait?

With your sheets like metal and your belt like lace
And your deck of cards missing the jack and the ace
And your basement clothes and your hollow face
Who among them can think he could outguess you?
With your silhouette when the sunlight dims
Into your eyes where the moonlight swims
And your matchbook songs and your gypsy hymns
Who among them would try to impress you?
Sad-eyed lady of the lowlands
Where the sad-eyed prophets say that no man comes
My warehouse eyes, my Arabian drums
Should I put them by your gate?
Or, sad-eyed lady, should I wait?

The kings of Tyrus with their convict list
Are waiting in line for their geranium kiss
And ya wouldn't know it woulda happened like this
But who among them really wants just to kiss you?
With your childhood flames on your midnight rug
And your Spanish manners and your mother's drugs
And your cowboy mouth and your curfew plugs
Who among them do ya think could resist you?

Sad-eyed lady of the lowlands
Where the sad-eyed prophets say that no man comes
My warehouse eyes, my Arabian drums
Should I leave them by your gate?
Or, sad-eyed lady, should I wait?

Oh, the farmers and the businessmen, they all did decide
To show you where the dead angels are that they used to hide
But why did they pick you to sympathize with their side?
How could they ever mistake you?
They wished you’d accepted the blame for the farm
But with the sea at your feet and the phony false alarm
And with the child of the hoodlum wrapped up in your arms
How could they ever have persuaded you?
Sad-eyed lady of the lowlands
Where the sad-eyed prophets say that no man comes
My warehouse eyes, my Arabian drums
Should I leave them by your gate?
Or, sad-eyed lady, should I wait?

With your sheet-metal memory of Cannery Row
And your magazine-husband who one day just had to go
And your gentleness now, which you just can't help but show
Who among them do you think would employ you?
Now you stand with your thief, you're on his parole
With your holy medallion and your fingertips now that fold
And your saintlike face and your ghost-like soul
Who among them could ever think it could destroy you?

Sad-eyed lady of the lowlands
Where the sad-eyed prophet say that no man comes
My warehouse eyes, my Arabian drums
Should I leave them by your gate?
Or, sad-eyed lady, should I wait?
6EmbedShare URLCopyEmbedCopy"
Love Minus Zero/No Limit,"My love she speaks like silence
Without ideals or violence
She doesn't have to say she's faithful
Yet she's true, like ice, like fire

People carry roses
And make promises by the hours
My love she laughs like the flowers
Valentines can't buy her

In the dime stores and bus stations
People talk of situations
Read books, repeat quotations
Draw conclusions on the wall

Some speak of the future
My love she speaks softly
She knows there's no success like failure
And that failure's no success at all

The cloak and dagger dangles
Madams light the candles
In ceremonies of the horsemen
Even a pawn must hold a grudge
Statues made of match sticks
Crumble into one another
My love winks, she does not bother
She knows too much to argue or to judge

The bridge at midnight trembles
The country doctor rambles
Bankers' nieces seek perfection
Expecting all the gifts that wise men bring

The wind howls like a hammer
The night blows rainy
My love she's like some raven
At my window with a broken wing3EmbedShare URLCopyEmbedCopy"
Black Rider,"Black rider, black rider, you've been living too hard
Been up all night, have to stay on your guard
The path that you're walking, too narrow to walk
Every step of the way, another stumbling block
The road that you're on, same road that you know
Just not the same as it was a minute ago

Black rider, black rider, you've seen it all
You've seen the great world and you've seen the small
You fell into the fire and you're eating the flame
Better seal up your lips if you wanna stay in the game
Be reasonable, mister, be honest, be fair
Let all of your earthly thoughts be a prayer

Black rider, black rider, all dressed in black
I'm walking away, you try to make me look back
My heart is at rest, I'd like to keep it that way
I don't wanna fight, at least not today
Go home to your wife, stop visiting mine
One of these days I'll forget to be kind

Black rider, black rider, tell me when, tell me how
If there ever was a time, then let it be now
Let me go through, open the door
My soul is distressed, my mind is at war
Don't hug me, don't flatter me, don't turn on the charm
I'll take a sword and hack off your arm
Black rider, black rider, hold it right there
The size of your cock will get you nowhere
I'll suffer in silence, I'll not make a sound
Maybe I'll take the high moral ground
Some enchanted evening I'll sing you a song
Black rider, black rider, you've been on the job too long1EmbedShare URLCopyEmbedCopy"
Talkin’ World War III Blues,"One time ago a crazy dream came to me
I dreamt I was walking to World War Three
I went to the doctor the very next day
To see what kind of words he could say
He said it was a bad dream
""I wouldn’t worry about it none, though
Them old dreams are only in your head""

I said “Hold it Doc, a World War passed through my brain”
He said “Nurse, get your pad, the boy’s insane”
He grabbed my arm, I said “Ouch!”
As I landed on the psychiatric couch
He said “Tell me about it”

Well, the whole thing started at 3 o’clock fast
It was all over by a quarter past
I was down in the sewer with some little lover
When I peeked out from a manhole cover
Wondering who turned the lights on us

Well, I got up and I walked around
Up and down the lonesome town
I stood a-wondering which way to go
I lit a cigarette on a parking meter
And walked on down the road
It was a normal day
Well, I rung the fallout shelter bell
And I leaned my head and I give a yell
“Give me a string bean, I’m a hungry man”
A shotgun fired, and away I ran
I don’t blame him too much though, he didn't know me

Down at the corner by the hot-dog stand
I seen a man
I said “Howdy friend, I guess there’s just us two”
He screamed a bit, and away he flew
Thought I was a Communist

Well, I spied me a girl and before she could leave
I said “Let’s go and play Adam and Eve”
I took her by the hand, and my heart was thumping
When she said “Hey man, you crazy or something?
You seen what happened last time they started”

Well, I seen me a Cadillac window uptown
There was nobody around
I got into the driver’s seat
And I drove down 42nd Street
In my Cadillac
Good car to drive after a war
Well, I remember seeing some ad
So I turned on my Conelrad
But I didn’t pay the Con Ed bill
So the radio didn’t work so well
Turned on my record player —
It was Rock-a-day Johnny, singing “Tell Your Ma, Tell Your Pa
Our Love’s A-going to Grow, Ooh-wah, Ooh-wah”

I was feeling kind of lonesome and blue
I needed somebody to talk to
So I called up the operator of time
Just to hear a voice of some kind
“When you hear the beep it will be three o’clock”
She said that for over an hour
And I hung up

Well, the doctor interrupted me just about then
Saying “Hey I’ve been having the same old dreams
But mine was a little different, you see
I dreamt the only person left after the war was me
I didn’t see you around""

Well, now time passed and now it seems
Everybody’s having them dreams
Everybody sees their self
Walking around with no one else
""Half of the people can be part right all of the time
And some of the people can be all right part of the time
But all of the people can’t be all right all of the time""
I think Abraham Lincoln said that
“I’ll let you be in my dream if I can be in yours”
I said that10EmbedShare URLCopyEmbedCopy"
Roll On John,"Doctor, doctor tell me the time of day
Another bottle's empty, another penny spent
He turned around and he slowly walked away
They shot him in the back and down he went

Shine your light
Movin' on
You burned so bright
Roll on, John

From the Liverpool docks to the red-light Hamburg streets
Down in the quarry with the quarrymen
Playing to the big crowds, playing to the cheap seats
Another day in the life on your way to your journey's end

Shine your light
Movin' on
You burned so bright
Roll on, John

Sailin' through the trade winds bound for the South
Rags on your back just like any other slave
They tied your hands and they clamped your mouth
Wasn't no way out of that deep dark cave
Shine your light
Movin' on
You burned so bright
Roll on, John

I heard the news today, oh boy
They hauled your ship up on the shore
Now the city gone dark, there is no more joy
They tore the heart right out and cut him to the core

Shine your light
Movin' on
You burned so bright
Roll on, John

Put on your bags and get 'em packed
Leave right now, you won't be far from wrong
The sooner you go the quicker you'll be back
You've been cooped up on an island far too long

Shine your light
Movin' on
You burned so bright
Roll on, John
Slow down you're moving way too fast
Come together right now over me
Your bones are weary, you're about to breathe your last
Lord, you know how hard that it can be

Shine your light
Movin' on
You burned so bright
Roll on, John

Roll on, John, roll through the rain and snow
Take the right-hand road and go where the buffalo roam
They'll trap you in an ambush before you know
Too late now to sail back home

Shine your light
Movin' on
You burned so bright
Roll on, John

Tyger, tyger burning bright
I pray the Lord my soul to keep
In the forests of the night
Cover 'em over and let him sleep
Shine your light
Movin' on
You burned so bright
Roll on, John4EmbedShare URLCopyEmbedCopy"
You’re Gonna Make Me Lonesome When You Go,"I’ve seen love go by my door
It’s never been this close before
Never been so easy or so slow
I've been shooting in the dark too long
When something’s not right, it’s wrong
You're gonna make me lonesome when you go

Dragon clouds so high above
I’ve only known careless love
It always just hit me from below
But this time 'round it’s more correct
Right on target, so direct
You're gonna make me lonesome when you go

Purple clover, Queen Anne's lace
Crimson hair across your face
You could make me cry, if you don’t know
Can’t remember what I was thinking of
You might be spoilin’ me too much, love
You're gonna make me lonesome when you go

Flowers on the hillside blooming crazy
Crickets talking back and forth in rhyme
Blue river running slow and lazy
I could stay with you forever and never realize the time
Situations have ended sad
Relationships have all been bad
Mine’ve been like Verlaine’s and Rimbaud
But there’s no way I can compare
All them scenes to this affair
You're gonna make me lonesome when you go

You're gonna make me wonder what I’m doin’
Staying far behind without you
You're gonna make me wonder what I’m sayin’
You're gonna make me give myself a good talking-to

I’ll look for you in old Honolulu
San Francisco or Ashtabula
You're gonna have to leave me now, I know
But I’ll see you in the sky above
In the tall grass, in the ones I love
You're gonna make me lonesome when you go7EmbedShare URLCopyEmbedCopy"
"If You See Her, Say Hello","If you see her, say hello, she might be in Tangier
She left here last early Spring, is livin' there, I hear
Say for me that I'm all right though things get kind of slow
She might think that I've forgotten her, don't tell her it isn't so

We had a falling out, like lovers often will
And to think of how she left that night, it still brings me a chill
And though our separation, it pierced me to the heart
She still lives inside of me, we've never been apart

If you get close to her, kiss her once for me
Always have respected her for doing what she did and gettin' free
Oh, whatever makes her happy, I won't stand in the way
Though the bitter taste still lingers on from the night I tried to make her stay

I see a lot of people as I make the rounds
And I hear her name here and there as I go from town to town
And I've never gotten used to it, I've just learned to turn it off
Either I'm too sensitive or else I'm gettin' soft

Sundown, yellow moon, I replay the past
I know every scene by heart, they all went by so fast
If she's passin' back this way, I'm not that hard to find
Tell her she can look me up if she's got the time6EmbedShare URLCopyEmbedCopy"
With God on Our Side,"Oh my name it ain't nothin'
My age it means less
The country I come from
Is called the Midwest
I’s taught and brought up there
The laws to abide
And that the land that I live in
Has God on its side
Oh the history books tell it
They tell it so well
The cavalries charged
The Indians fell
The cavalries charged
The Indians died
Ah the country was young
With God on its side
The Spanish-American
War had its day
And the Civil War too
Was soon laid away
And the names of the heroes
I’s made to memorize
With guns in their hands
And God on their side
The First World War boys
It came and it went
The reason for fightin'
I never did get
But I learned to accept it
Accept it with pride
For you don’t count the dead
When God’s on your side
The Second World War
Came to an end
We forgave the Germans
And then we were friends
Though they murdered six million
In the ovens they fried
The Germans now too
Have God on their side
I’ve learned to hate the Russians
All through my whole life
If another war comes
It’s them we must fight
To hate them and fear them
To run and to hide
And accept it all bravely
With God on my side
But now we got weapons
Of chemical dust
If fire them we’re forced to
Then fire them we must
One push of the button
And a shot the world wide
And ya' never ask questions
When God’s on your side
Through many dark hour
I been thinking about this
That Jesus Christ
Was betrayed by a kiss
But I can’t think for ya'
You’ll have to decide
Whether Judas Iscariot
Had God on his side
So now as I’m leavin'
I’m weary as Hell
The confusion I’m feelin'
Ain't no tongue can tell
The words fill my head
And they fall to the floor
If God’s on our side
He’ll stop the next war8EmbedShare URLCopyEmbedCopy"
She Belongs to Me,"She's got everything she needs
She's an artist, she don't look back
She's got everything she needs
She's an artist, she don't look back
She can take the dark out of the nighttime
And paint the daytime black

You will start out standing
Proud to steal her anything she sees
You will start out standing
Proud to steal her anything she sees
But you will wind up peeking through her keyhole
Down upon your knees

She never stumbles
She's got no place to fall
She never stumbles
She's got no place to fall
She's nobody's child
The Law can't touch her at all

She wears an Egyptian ring
It sparkles before she speaks
She wears an Egyptian ring
It sparkles before she speaks
She's a hypnotist collector
You are a walking antique

Bow down to her on Sunday
Salute her when her birthday comes
Bow down to her on Sunday
Salute her when her birthday comes
For Halloween buy her a trumpet
And for Christmas get her a drum5EmbedShare URLCopyEmbedCopy"
Jokerman,"Standing on the waters casting your bread
While the eyes of the idol with the iron head are glowing
Distant ships sailing into the mist
You were born with a snake in both of your fists while a hurricane was blowing
Freedom just around the corner for you
But with the truth so far off, what good will it do?

Jokerman dance to the nightingale tune
Bird fly high by the light of the moon
Oh, oh, oh, Jokerman

So swiftly the sun sets in the sky
You rise up and say goodbye to no one
Fools rush in where angels fear to tread
Both of their futures, so full of dread, you don't show one
Shedding off one more layer of skin
Keeping one step ahead of the persecutor within

Jokerman dance to the nightingale tune
Bird fly high by the light of the moon
Oh, oh, oh, Jokerman
You're a man of the mountains, you can walk on the clouds
Manipulator of crowds, you're a dream twister
You're going to Sodom and Gomorrah
But what do you care? Ain't nobody there would want to marry your sister
Friend to the martyr, a friend to the woman of shame
You look into the fiery furnace, see the rich man without any name

Jokerman dance to the nightingale tune
Bird fly high by the light of the moon
Oh, oh, oh, Jokerman

Well, the Book of Leviticus and Deuteronomy
The law of the jungle and the sea are your only teachers
In the smoke of the twilight on a milk-white steed
Michelangelo indeed could've carved out your features
Resting in the fields, far from the turbulent space
Half asleep near the stars with a small dog licking your face

Jokerman dance to the nightingale tune
Bird fly high by the light of the moon
Oh, oh, oh, Jokerman
Well, the rifleman's stalking the sick and the lame
Preacherman seeks the same, who'll get there first is uncertain
Nightsticks and water cannons, tear gas, padlocks
Molotov cocktails and rocks behind every curtain
False-hearted judges dying in the webs that they spin
Only a matter of time till night comes stepping in

Jokerman dance to the nightingale tune
Bird fly high by the light of the moon
Oh, oh, oh, Jokerman

It's a shadowy world, skies are slippery grey
A woman just gave birth to a prince today and dressed him in scarlet
He'll put the priest in his pocket, put the blade to the heat
Take the motherless children off the street
And place them at the feet of a harlot
Oh, Jokerman, you know what he wants
Oh, Jokerman, you don't show any response

Jokerman dance to the nightingale tune
Bird fly high by the light of the moon
Oh, oh, oh, Jokerman4EmbedShare URLCopyEmbedCopy"
You’re a Big Girl Now,"Our conversation was short and sweet
It nearly swept me off-a my feet
And I'm back in the rain, oh, oh
And you are on dry land
You made it there somehow
You're a big girl now

Bird on the horizon, sitting on a fence
He's singing his song for me at his own expense
And I'm just like that bird, oh, oh
Singing just for you
I hope that you can hear
Hear me singing through these tears

Time is a jet plane, it moves too fast
Oh, but what a shame that all we've shared can't last
I can change, I swear, oh, oh
See what you can do
I can make it through
You can make it too

Love is so simple, to quote a phrase
You've known it all the time, I'm learning it these days
Oh, I know where I can find you, oh, oh
In somebody's room
It's a price I have to pay
You're a big girl all the way
A change in the weather is known to be extreme
But what's the sense of changing horses in midstream?
I'm going out of my mind, oh, oh
With a pain that stops and starts
Like a corkscrew to my heart
Ever since we've been apart8EmbedShare URLCopyEmbedCopy"
Goodbye Jimmy Reed,"I live on a street named after a Saint
Women in the churches wear powder and paint
Where the Jews, and Catholics, and the Muslims all pray
I can tell they're Proddie from a mile away
Goodbye Jimmy Reed, Jimmy Reed indeed
Give me that old time religion, it's just what I need

For thine is kingdom, the power, the glory
Go tell it on the mountain, go tell the real story
Tell it in that straightforward, puritanical tone
In the mystic hours when a person's alone
Goodbye Jimmy Reed, godspeed
Thump on the Bible, proclaim a creed

You won't amount to much, the people all said
'Cause I didn't play guitar behind my head
Never pandered, never acted proud
Never took off my shoes, throw 'em in the crowd
Goodbye Jimmy Reed, goodbye, goodnight
Put a jewel in your crown and I put out the lights

They threw everything at me, everything in the book
I had nothing to fight with but a butcher's hook
They had no pity, they never lend a hand
I can't sing a song that I don't understand
Goodbye Jimmy Reed, goodbye, good luck
I can't play the record 'cause my needle got stuck
Transparent woman in a transparent dress
Suits you well, I must confess
I'll break open your grapes, I'll suck out the juice
I need you like my head needs a noose
Goodbye Jimmy Reed, goodbye and so long
I thought I could resist her but I was so wrong

God be with you, brother dear
If you don't mind me asking what brings you here?
Oh, nothing much, I'm just looking for the man
Need to see where he's lying in this lost land
Goodbye Jimmy Reed, and everything within ya
Can't you hear me calling from down in Virginia?1EmbedShare URLCopyEmbedCopy"
