source,ym_joke
ym api,"Yo momma is so ugly that when she walks down the street in September, people say ""Wow, is it Halloween already?"""
ym api,Yo momma is so ugly that her mom had to be drunk to breast feed her.
ym api,"Yo momma is so ugly that when she walks into a bank, they turn off the surveillence cameras."
ym api,Yo momma is so ugly that they didn't give her a costume when she auditioned for Star Wars.
ym api,Yo momma is so ugly that even Rice Krispies won't talk to her!
ym api,"Yo momma is so ugly that when she uploaded a photo of herself to a computer, it was rejected by the anti-virus software."
ym api,"Yo momma is so ugly that when she joined an ugly contest, they said ""Sorry, no professionals."""
ym api,Yo momma is so ugly that she could make a freight train take a dirt road.
ym api,"Yo momma is so ugly that that when she sits in the sand on the beach, cats try to bury her."
ym api,"Yo momma is so ugly that when she drove past area 51, she was thought to be extraterrestrial life. They took her away never to be seen again."
ym api,Yo momma is so ugly that they pay her to put her clothes on in strip joints
ym api,Yo momma is so ugly that you have to tie a steak around her neck so the dog will play with her!
ym api,"Yo momma is so ugly that just after she was born, her mother said ""What a treasure!"" and her father said ""Yes, let's go bury it."""
ym api,Yo momma is so ugly that she made an onion cry!
ym api,"Yo momma is so ugly that when I last saw a mouth like hers, it had a hook in it."
ym api,Yo momma is so ugly that she gets 364 extra days to dress up for Halloween!
ym api,"Yo momma is so ugly that when she plays Mortal Kombat, Scorpion tells her to ""Stay Over There!"""
ym api,Yo momma is so ugly that neither Jacob nor Edward want her on their team.
ym api,Yo momma is so ugly that they push her face into dough to make gorilla cookies.
ym api,"Yo momma is so ugly that when she goes to the therapist, he makes her lie on the couch face down."
ym api,Yo momma is so ugly that she gives Freddy Kreuger nightmares.
ym api,"Yo momma is so ugly that when she walks in the kitchen, the rats jump on the table and start screaming."
ym api,Yo momma is so ugly that even Bill Clinton wouldn't sleep with her.
ym api,"Yo momma is so ugly that when she was born, the doctor slapped her AND her parents!"
ym api,"Yo momma is so ugly that she didn't get hit with the ugly stick, she got hit by the whole damn tree."
ym api,Yo momma is so ugly that she has 7 years bad luck just trying to look at herself in the mirror.
ym api,Yo momma is so ugly that she practices birth control by leaving the lights on.
ym api,Yo momma is so ugly that she threw a boomerang and it wouldn't even come back.
ym api,Yo momma is so ugly that she'd scare the monster out of Loch Ness.
ym api,Yo momma is so ugly that it looks like she's been bobbing for french fries.
ym api,Yo momma is so ugly that her pillow cries at night.
ym api,Yo momma is so ugly that people at the circus pay money not to see her.
ym api,"Yo momma is so ugly that when she looks in the mirror it says ""viewer discretion is advised."""
ym api,Yo momma is so ugly that she can look up a camel's butt and scare the hump off of it.
ym api,"Yo momma is so ugly that when she moved into the projects, all her neighbors chipped in for curtains."
ym api,Yo momma is so ugly that Santa pays an elf to drop off her gifts at Christmas.
ym api,Yo momma is so ugly that people hang her picture in their cars so their radios don't get stolen.
ym api,Yo momma is so ugly that I took her to a haunted house and she came out with a job application.
ym api,"Yo momma is so ugly that if she was a scarecrow, the corn would run away."
ym api,Yo momma is so ugly that she could be the poster child for birth control.
ym api,"Yo momma is so ugly that I took her to the zoo, guy at the door said ""Thanks for bringing her back."""
ym api,Yo momma is so ugly that when she went to Taco Bell everyone ran for the border.
ym api,Yo momma is so ugly that her face is blurred on her driver's license.
ym api,"Yo momma is so ugly that when she walked out of her house, the neighbours called animal control."
ym api,"Yo momma is so ugly that the FCC requires her face to be blurred when she's on TV, because of decency rules."
ym api,Yo momma is so ugly that a sculpture of her face is used when torturing prisoners at Guantanamo Bay.
ym api,Yo momma is so ugly that government intelligence agencies have to pixelize her face when spying on her.
ym api,Yo momma is so ugly that she's never seen herself 'cause the mirrors keep breaking.
ym api,Yo momma is so ugly that it looks like someone did the stanky leg dance on her face.
ym api,Yo momma is so ugly that when she was born she was put in an incubator with tinted windows.
ym api,Yo momma is so ugly that she put the Boogie Man out of business!
ym api,Yo momma is so ugly that she made Barack Obama lose hope!
ym api,Yo momma was such an ugly baby that her parents had to feed her with a slingshot.
ym api,"Yo momma is like a hockey player, she only showers after three periods."
ym api,"Yo momma is like a chicken coop, cocks fly in and out all day."
ym api,"Yo momma has so many teeth missing, that it looks like her tongue is in jail."
ym api,Yo momma's mouth is so big that she speaks in surround sound.
ym api,Yo momma is so grouchy that the McDonalds she works in doesn't even serve Happy Meals.
ym api,"You suck... yo momma does too, but she charges."
ym api,"Yo momma is like a paper towel, she picks up all kinds of slimy wet stuff."
ym api,"Yo momma is like Bazooka Joe, 5 cents a blow."
ym api,"Yo momma is like a telephone, even a 3 year old can pick her up."
ym api,"Yo momma is like a Christmas tree, everybody hangs balls on her."
ym api,"Yo momma is like the sun, look at her too long and you'll go blind."
ym api,"Yo momma is like a library, she's open to the public."
ym api,"Yo momma is like a fine restaurant, she only takes deliveries in the rear."
ym api,"Yo momma is like an ATM, open 24 hours."
ym api,"Yo momma is like a bowling ball... round, heavy, and you can fit three fingers in."
ym api,"Yo momma is like a basketball hoop, everybody gets a shot."
ym api,"Yo momma is like a Discover card, she gives cash back."
ym api,"Yo momma is like a championship ring, everybody puts a finger in her."
ym api,"Yo momma is like Dominoes Pizza, one call does it all."
ym api,"Yo momma is like a microwave, press one button and she's hot."
ym api,"Yo momma is like a mail box, open day and night."
ym api,"Yo momma is like a bowling ball, she always winds up in the gutter."
ym api,"Yo momma is like a bus, guys climb on and off her all day long."
ym api,"Yo momma is like a door knob, everybody gets a turn."
ym api,"Yo momma is like a light switch, even a little kid can turn her on."
ym api,"Yo momma's such a ho that ""who's your daddy?"" is a multiple-choice question."
ym api,You'll never be the man Yo momma was.
ym api,Yo momma... 'nuff said.
ym api,Yo momma is so lazy that she thinks a two-income family is where yo daddy has two jobs.
ym api,Yo momma is so lazy that she's got a remote control just to operate her remote!
ym api,Yo momma's arms are so short that she has to tilt her head to scratch her ear.
ym api,Yo momma's lips are so big that Chapstick had to invent a spray.
ym api,Yo momma is so lazy that she came in last place in a recent snail marathon.
ym api,What's the difference between yo momma and a walrus? One has whiskers and smells of fish... the other one is a walrus!
ym api,Yo momma is missing a finger and can't count past nine.
ym api,Yo momma is so flat that she makes the walls jealous!
ym api,Yo momma's gums are so black that she spits Yoo-hoo.
ym api,It took yo momma 10 tries to get her drivers license - she couldn't get used to the front seat!
ym api,"Yo momma's so fat that when she asked me ""what's up?"" I said ""your weight!"""
ym api,Yo momma is twice the man you are.
ym api,Yo momma's head is so small that she got her ear pierced and died.
ym api,Yo momma is cross-eyed and watches TV in stereo.
ym api,Yo momma is so stupid that she was born on Independence Day and can't remember her birthday.
ym api,Yo momma's head is so small that she uses a tea-bag as a pillow.
ym api,"Yo momma's face is so wrinkled, that she has to screw her hat on."
ym api,Yo momma's hips are so big that people set their drinks on them.
ym api,Yo momma's hair is so nappy that she has to take Tylenol just to comb it.
ym api,Yo momma's feet are so big that her shoes need to have license plates on them!
ym api,Yo momma's so lonely that she buys hot dogs and nuts wishing she could have sex with them.
ym api,Yo momma is so bald that even a wig wouldn't help!
ym api,Yo momma is so bald that you can see what's on her mind.
ym api,Yo momma is so bald that she took a shower and got brain-washed!
ym api,"Yo momma's teeth are so yellow that when she smiles everyone sings ""We're Walking on Sunshine."""
ym api,Yo momma is like a slaughter house - everybody's hanging their meat up in her.
ym api,"Yo momma is like the new AOL 4.0: Fun, Fast, Easy and Free!"
ym api,Yo momma is like a carpenter's dream - flat as a board and easy to nail.
ym api,"Yo momma is like Humpty Dumpty - First she gets humped, then she gets dumped."
ym api,"Yo momma is like a bag of potato chips, ""Free-To-Lay."""
ym api,Yo momma is like a turtle - once she's on her back she's fucked.
ym api,Yo momma is like a fan - she's always blowing someone.
ym api,Yo momma is like Pizza Hut - if she isn't there in 30 minutes... it's Free!
ym api,Yo momma is like a goalie - she only changes her pads after three periods.
ym api,Yo momma is like a gas station - you gotta pay before you pump!
ym api,Yo momma is like Sprint - 10 cents a minute anywhere in the country.
ym api,Yo momma is like a Chinese restaurant - All you can eat for only $9.95!
ym api,Yo momma smells so bad that the doctor diagnosed her with breath cancer.
ym api,Yo momma's breath smells so bad that when she yawns her teeth duck out of the way.
ym api,"What's the difference between yo momma and a Lay-Z-Boy? One's soft, squishy, and always has someone in it. The other is a chair."
ym api,What's the difference between yo momma and a 747? About 20 pounds.
ym api,"Yo momma's like a shotgun, one cock and she blows."
ym api,"Yo momma's like the Bermuda Triangle, they both swallow a lot of seamen."
ym api,"Yo momma's like cake mix, 15 servings per package!"
ym api,"Yo momma's like a 5 foot tall basketball hoop, it ain't that hard to score."
ym api,"Yo momma's like a vacuum cleaner... she sucks, blows, and then gets laid in the closet."
ym api,Yo momma's like the Pillsbury dough boy - everybody pokes her.
ym api,"Yo momma's like a brick, dirty, flat on both sides, and always getting laid by Mexicans."
ym api,"Yo momma's like a nickel, she ain't worth a dime."
ym api,"Yo momma's like a streetlamp, you can find her turned on at night on any street corner."
ym api,"Yo momma's like a telephone booth, open to the public, costs a quarter, and guys go in and out all day."
ym api,"Yo momma's like a Reese's Peanut Butter Cup, there's no wrong way to eat her."
ym api,"Yo momma's like a postage stamp, you lick her, stick her, then send her away."
ym api,"Yo momma's like a screen door, after a couple of bangs she loosens up."
ym api,"Yo momma's like a dollar bill, she gets handled all across the country."
ym api,Yo momma's like school at 3 o'clock... children keep coming out and nobody can remember all the fathers.
ym api,"Yo momma's like a bowling ball, she gets picked up, fingered, thrown down the gutter, and she still comes back for more."
ym api,"Yo momma's like a set of speakers - loud, ugly, lives in a box, and you can turn her up, down, on, and off."
ym api,"Yo momma's like a birthday cake, everybody gets a piece."
ym api,"Yo momma's like 7-Eleven - open all night, hot to go, and for 89 cents you can get a slurpy."
ym api,Yo momma's like a vacuum cleaner - a real good suck.
ym api,"Yo momma's like a Snickers bar, packed with nuts."
ym api,Yo momma's like a race car driver - she burns a lot of rubbers.
ym api,"Yo momma's like a parking garage, three bucks and you're in."
ym api,"Yo momma's like a pool table, she likes balls in her pocket."
ym api,Yo momma's got 1 toe & 1 knee and they call her Tony.
ym api,"Yo momma's got a ""wait"" problem, she can't wait to eat."
ym api,Yo momma's got a 4 dollar weave and don't know when to leave.
ym api,"Yo momma's teeth are so yellow, when she smiles it looks like a Kraft Singles pack."
ym api,Yo momma's got Play-Doh teeth.
ym api,"Yo momma's like the Panama Canal, vessels full of seamen pass through her everyday."
ym api,"Yo momma likes to applaud, 'cause she's got clap"
ym api,Yo momma's got 1 leg longer than the other so they call her call her hip hop.
ym api,"Yo momma's got an eating disorder, she be eating dis order, dat order, she be eating all the damn orders!"
ym api,Yo momma sucks so much dick her butt chin turned into a nut chin!
ym api,Yo momma's got more chins than a Chinese phone book.
ym api,"Yo momma's like a bungee cord... 100 dollars for 30 seconds and if that rubber breaks, your ass is dead!"
ym api,"Yo momma's like a squirrel, she's always got some nuts in her mouth."
ym api,"Yo momma's like a refrigerator, everyone puts their meat in her."
ym api,"Yo momma's like a tricycle, she's easy to ride."
ym api,yo mommas like a hardware store. 25 cents a screw.
ym api,"Yo momma's like mustard, she spreads easy."
