,title,release_date,production_budget,domestic_gross,worldwide_gross,genre,story_source,creative_type,production_method,production_company,MPAA_Rating,runtime,opening_theater_count,max_theater_count,avg_run_per_theater,actors,directors
10,Batman v Superman: Dawn of Justice,"Mar 23, 2016","$263,000,000","$330,360,194","$873,634,919",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,Warner Bros.,PG-13,151 minutes,"4,242","4,242",5.9 weeks,Henry Cavill | Ben Affleck | Amy Adams | Gal Gadot,Zack Snyder
11,Star Wars Ep. VIII: The Last Jedi,"Dec 13, 2017","$262,000,000","$620,181,382","$1,332,539,889",Adventure,Original Screenplay,Science Fiction,Animation/Live Action,Lucasfilm,PG-13,150 minutes,"4,232","4,232",6.7 weeks,Mark Hamill | Carrie Fisher | Adam Driver | Daisy Ridley | John Boyega | Oscar Isaac | Domhnall Gleeson | Anthony Daniels | Gwendoline Christie | Kelly Marie Tran | Benicio del Toro,Rian Johnson
12,Tangled,"Nov 24, 2010","$260,000,000","$200,821,936","$586,477,240",Musical,Based on Folk Tale/Legend/Fairytale,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,Walt Disney Animation Studios,PG,101 minutes,"3,603","3,603",9.0 weeks,Zachary Levi | Mandy Moore,Nathan Greno | Byron Howard
13,Spider-Man 3,"May 4, 2007","$258,000,000","$336,530,303","$894,860,230",Adventure,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,Columbia Pictures,PG-13,139 minutes,"4,252","4,252",6.4 weeks,Tobey Maguire,Sam Raimi
14,Captain America: Civil War,"Apr 22, 2016","$250,000,000","$408,084,349","$1,153,284,349",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,Marvel Studios,PG-13,146 minutes,"4,226","4,226",6.0 weeks,"Chris Evans | Robert Downey, Jr. | Scarlett Johansson | Sebastian Stan | Jeremy Renner | Don Cheadle | Anthony Mackie | Paul Bettany | Elizabeth Olsen | Chadwick Boseman",Anthony Russo | Joe Russo
15,Harry Potter and the Half-Blood Prince,"Jul 15, 2009","$250,000,000","$302,089,278","$935,213,767",Adventure,Based on Fiction Book/Short Story,Fantasy,Animation/Live Action,Heyday Films,PG,153 minutes,"4,325","4,325",6.1 weeks,Daniel Radcliffe | Rupert Grint | Emma Watson,David Yates
16,The Hobbit: The Desolation of Smaug,"Dec 13, 2013","$250,000,000","$258,366,855","$960,366,855",Adventure,Based on Fiction Book/Short Story,Fantasy,Animation/Live Action,Wingnut Films,PG-13,201 minutes,"3,903","3,903",6.4 weeks,Martin Freeman,Peter Jackson
17,The Hobbit: The Battle of the Five Armies,"Dec 10, 2014","$250,000,000","$255,119,788","$945,577,621",Adventure,Based on Fiction Book/Short Story,Fantasy,Animation/Live Action,New Line Cinema,PG-13,144 minutes,"3,875","3,875",5.6 weeks,Martin Freeman,Peter Jackson
18,The Fate of the Furious,"Apr 7, 2017","$250,000,000","$225,764,765","$1,234,846,267",Action,Original Screenplay,Contemporary Fiction,Live Action,Universal Pictures,PG-13,136 minutes,"4,310","4,310",5.7 weeks,Vin Diesel | Dwayne Johnson | Jason Statham | Michelle Rodriguez | Tyrese Gibson | Chris âLudacrisâ Bridges | Charlize Theron | Nathalie Emmanuel,F. Gary Gray
19,Avatar,"Dec 17, 2009","$237,000,000","$760,507,625","$2,789,705,275",Action,Original Screenplay,Science Fiction,Animation/Live Action,Dune Entertainment,PG-13,162 minutes,"3,452","3,452",13.2 weeks,Sam Worthington | Zoe Saldana,James Cameron
20,Superman Returns,"Jun 28, 2006","$232,000,000","$200,120,000","$391,081,192",Adventure,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,Warner Bros.,PG-13,150 minutes,"4,065","4,065",5.5 weeks,,
21,The Dark Knight Rises,"Jul 19, 2012","$230,000,000","$448,139,099","$1,084,439,099",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,Warner Bros.,PG-13,164 minutes,"4,404","4,404",7.4 weeks,Christian Bale,Christopher Nolan
22,Pirates of the Caribbean: Dead Men Tell No Tales,"May 23, 2017","$230,000,000","$172,558,876","$788,241,137",Adventure,Based on Theme Park Ride,Fantasy,Animation/Live Action,Walt Disney Pictures,PG-13,135 minutes,"4,276","4,276",5.2 weeks,Johnny Depp | Javier Bardem | Geoffrey Rush,Joachim Ronnin | Espen Sandberg
23,Quantum of Solace,"Nov 14, 2008","$230,000,000","$169,368,427","$591,692,078",Action,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Eon Productions,PG-13,106 minutes,"3,451","3,451",6.0 weeks,Daniel Craig,Marc Forster
24,The Avengers,"Apr 25, 2012","$225,000,000","$623,357,910","$1,518,812,988",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Animation/Live Action,Marvel Studios,PG-13,143 minutes,"4,349","4,349",8.7 weeks,"Tom Hiddleston | Robert Downey, Jr. | Chris Evans | Mark Ruffalo | Chris Hemsworth | Scarlett Johansson | Jeremy Renner | Samuel L. Jackson",Joss Whedon
25,Pirates of the Caribbean: Dead Manâs Chest,"Jul 7, 2006","$225,000,000","$423,315,812","$1,066,215,812",Adventure,Based on Theme Park Ride,Historical Fiction,Live Action,Walt Disney Pictures,PG-13,151 minutes,"4,133","4,133",8.3 weeks,Johnny Depp | Orlando Bloom | Keira Knightley | Bill Nighy,Gore Verbinski
26,Man of Steel,"Jun 14, 2013","$225,000,000","$291,045,518","$667,999,518",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,Warner Bros.,PG-13,142 minutes,"4,207","4,207",5.0 weeks,Henry Cavill | Michael Shannon,Zack Snyder
27,The Chronicles of Narnia: Prince Caspian,"May 16, 2008","$225,000,000","$141,621,490","$417,341,288",Adventure,Based on Fiction Book/Short Story,Fantasy,Animation/Live Action,Walt Disney Pictures,PG,144 minutes,"3,929","3,929",5.4 weeks,,
28,The Lone Ranger,"Jul 2, 2013","$225,000,000","$89,302,115","$260,002,115",Western,Based on TV,Historical Fiction,Live Action,Walt Disney Pictures,PG-13,149 minutes,"3,904","3,904",3.4 weeks,Johnny Depp | Armie Hammer | William Fichtner | Tom Wilkinson | Ruth Wilson | Helena Bonham Carter,Gore Verbinski
29,The Amazing Spider-Man,"Jun 27, 2012","$220,000,000","$262,030,663","$757,890,267",Adventure,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,Columbia Pictures,PG-13,136 minutes,"4,318","4,318",5.2 weeks,Andrew Garfield,Marc Webb
30,Battleship,"Apr 11, 2012","$220,000,000","$65,233,400","$313,477,717",Action,Based on Game,Contemporary Fiction,Live Action,Universal Pictures,PG-13,130 minutes,"3,690","3,690",4.1 weeks,Taylor Kitsch | Alexander SkarsgÃ¥rd | Rihanna | Liam Neeson,Peter Berg
31,Transformers: The Last Knight,"Jun 20, 2017","$217,000,000","$130,168,683","$602,893,340",Action,Based on TV,Science Fiction,Animation/Live Action,di Bonaventura Pictures,PG-13,148 minutes,"4,069","4,069",3.9 weeks,Mark Wahlberg | Peter Cullen,Michael Bay
32,Jurassic World,"Jun 9, 2015","$215,000,000","$652,270,625","$1,648,854,864",Action,Based on Fiction Book/Short Story,Science Fiction,Live Action,Universal Pictures,PG-13,124 minutes,"4,274","4,274",8.5 weeks,Chris Pratt,Colin Trevorrow
33,Men in Black 3,"May 23, 2012","$215,000,000","$179,020,854","$654,213,485",Adventure,Based on Comic/Graphic Novel,Science Fiction,Animation/Live Action,Columbia Pictures,PG-13,104 minutes,"4,248","4,248",5.6 weeks,Will Smith | Tommy Lee Jones | Josh Brolin,Barry Sonnenfeld
34,Transformers: Revenge of the Fallen,"Jun 24, 2009","$210,000,000","$402,111,870","$836,519,699",Action,Based on TV,Science Fiction,Animation/Live Action,DreamWorks Pictures,PG-13,149 minutes,"4,234","4,234",6.7 weeks,Shia LaBeouf | Megan Fox,Michael Bay
35,Transformers: Age of Extinction,"Jun 25, 2014","$210,000,000","$245,439,076","$1,104,054,072",Action,Based on TV,Science Fiction,Animation/Live Action,di Bonaventura Pictures,PG-13,165 minutes,"4,233","4,233",5.2 weeks,,Michael Bay
36,X-Men: The Last Stand,"May 26, 2006","$210,000,000","$234,362,462","$459,260,946",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,20th Century Fox,PG-13,104 minutes,"3,690","3,690",5.6 weeks,Hugh Jackman | Ian McKellen | Patrick Stewart,Brett Ratner
37,Robin Hood,"May 14, 2010","$210,000,000","$105,487,148","$322,459,006",Action,Based on Folk Tale/Legend/Fairytale,Historical Fiction,Live Action,United Artists,PG-13,139 minutes,"3,503","3,503",5.1 weeks,Russell Crowe | Cate Blanchett,Ridley Scott
38,King Kong,"Dec 14, 2005","$207,000,000","$218,080,025","$550,517,357",Adventure,All Time Domestic Box Office for Remake Movies,Fantasy,Animation/Live Action,Wingnut Films,PG-13,189 minutes,"3,568","3,568",6.5 weeks,Andy Serkis,Peter Jackson
39,The Golden Compass,"Dec 7, 2007","$205,000,000","$70,107,728","$367,262,558",Adventure,Based on Fiction Book/Short Story,Fantasy,Live Action,New Line Cinema,PG-13,113 minutes,"3,528","3,528",4.5 weeks,,
40,Black Panther,"Feb 13, 2018","$200,000,000","$700,059,566","$1,346,913,161",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,Marvel Studios,PG-13,120 minutes,"4,020","4,020",9.9 weeks,Chadwick Boseman | Michael B. Jordan | Lupita Nyong'o | Danai Gurira | Martin Freeman | Angela Bassett | Forest Whitaker | Andy Serkis | Daniel Kaluuya | Letitia Wright,Ryan Coogler
41,Titanic,"Dec 19, 1997","$200,000,000","$659,363,944","$2,208,208,395",Thriller/Suspense,Original Screenplay,Historical Fiction,Live Action,20th Century Fox,PG-13,194 minutes,"2,674","2,674",26.8 weeks,Leonardo DiCaprio | Kate Winslet,James Cameron
42,Incredibles 2,"Jun 15, 2018","$200,000,000","$608,581,744","$1,242,805,359",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,Disney-Pixar,PG,118 minutes,"4,410","4,410",9.1 weeks,Craig T. Nelson | Holly Hunter | Sarah Vowell | Huckleberry Milner* | Samuel L. Jackson,Brad Bird
43,Rogue One: A Star Wars Story,"Dec 14, 2016","$200,000,000","$532,177,324","$1,056,057,273",Adventure,Spin-Off,Science Fiction,Animation/Live Action,Lucasfilm,PG-13,134 minutes,"4,157","4,157",7.0 weeks,Felicity Jones | Diego Luna | Ben Mendelsohn | Donnie Yen | Mads Mikkelsen | Alan Tudyk | Riz Ahmed,Gareth Edwards
44,Finding Dory,"Jun 16, 2016","$200,000,000","$486,295,561","$1,028,570,889",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,Disney-Pixar,PG,103 minutes,"4,305","4,305",7.6 weeks,Ellen DeGeneres,Andrew Stanton
45,Toy Story 3,"Jun 18, 2010","$200,000,000","$415,004,880","$1,068,879,522",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,Walt Disney Pictures,G,102 minutes,"4,028","4,028",8.4 weeks,Tom Hanks | Tim Allen,Lee Unkrich
46,Iron Man 3,"Apr 24, 2013","$200,000,000","$408,992,272","$1,215,392,272",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Animation/Live Action,Marvel Studios,PG-13,130 minutes,"4,253","4,253",6.1 weeks,"Robert Downey, Jr. | Gwyneth Paltrow | Don Cheadle | Guy Pearce | Ben Kingsley",Shane Black
47,Guardians of the Galaxy Vol 2,"Apr 28, 2017","$200,000,000","$389,813,101","$869,113,101",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Animation/Live Action,Marvel Studios,PG-13,136 minutes,"4,347","4,347",7.0 weeks,Chris Pratt | Zoe Saldana | Dave Bautista | Vin Diesel | Bradley Cooper | Michael Rooker | Kurt Russell | Karen Gillan | Pom Klementieff | Elizabeth Debicki,James Gunn
48,Spider-Man 2,"Jun 30, 2004","$200,000,000","$373,524,485","$795,110,670",Adventure,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,Columbia Pictures,PG-13,127 minutes,"4,152","4,152",7.1 weeks,Tobey Maguire,Sam Raimi
49,Alice in Wonderland,"Mar 5, 2010","$200,000,000","$334,191,110","$1,025,491,110",Adventure,Based on Fiction Book/Short Story,Fantasy,Animation/Live Action,Walt Disney Pictures,PG,108 minutes,"3,728","3,728",7.2 weeks,Johnny Depp | Alan Rickman,Tim Burton
50,Skyfall,"Oct 26, 2012","$200,000,000","$304,360,277","$1,110,526,981",Action,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Eon Productions,PG-13,143 minutes,"3,505","3,505",8.2 weeks,Daniel Craig | Javier Bardem,Sam Mendes
51,The Hobbit: An Unexpected Journey,"Dec 11, 2012","$200,000,000","$303,003,568","$1,017,003,568",Adventure,Based on Fiction Book/Short Story,Fantasy,Animation/Live Action,New Line Cinema,PG-13,169 minutes,"4,045","4,045",6.8 weeks,Martin Freeman,Peter Jackson
52,Monsters University,"Jun 21, 2013","$200,000,000","$268,488,329","$743,588,329",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,Disney-Pixar,G,102 minutes,"4,004","4,004",6.2 weeks,Billy Crystal | John Goodman,Dan Scanlon
53,Oz the Great and Powerful,"Mar 8, 2013","$200,000,000","$234,770,996","$490,359,051",Adventure,Spin-Off,Fantasy,Animation/Live Action,Walt Disney Pictures,PG,130 minutes,"3,912","3,912",7.1 weeks,James Franco | Mila Kunis | Rachel Weisz | Michelle Williams | Zach Braff | Joey King,Sam Raimi
54,X-Men: Days of Future Past,"May 21, 2014","$200,000,000","$233,921,534","$747,862,775",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,Bad Hat Harry Productions,PG-13,131 minutes,"3,996","3,996",6.0 weeks,Hugh Jackman | James McAvoy | Michael Fassbender | Patrick Stewart | Jennifer Lawrence | Ian McKellen,Bryan Singer
55,The Amazing Spider-Man 2,"Apr 16, 2014","$200,000,000","$202,853,933","$708,996,336",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,Marvel Studios,PG-13,141 minutes,"4,324","4,324",5.1 weeks,Andrew Garfield,Marc Webb
56,Cars 2,"Jun 23, 2011","$200,000,000","$191,450,875","$560,155,383",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,Disney-Pixar,G,107 minutes,"4,115","4,115",6.3 weeks,Dan Whitney | Owen Wilson | Michael Caine | Emily Mortimer,John Lasseter
57,Fast & Furious Presents: Hobbs & Shaw,"Jul 31, 2019","$200,000,000","$173,810,100","$758,910,100",Action,Spin-Off,Contemporary Fiction,Live Action,Seven Bucks Productions,PG-13,134 minutes,"4,253","4,253",6.2 weeks,Dwayne Johnson | Jason Statham | Idris Elba | Vanessa Kirby | Eiza GonzÃ¡lez,David Leitch
58,Tron: Legacy,"Dec 17, 2010","$200,000,000","$172,062,763","$400,062,763",Adventure,Original Screenplay,Science Fiction,Live Action,Walt Disney Pictures,PG,125 minutes,"3,451","3,451",6.4 weeks,Jeff Bridges | Garrett Hedlund | Olivia Wilde | Bruce Boxleitner | James Frain | Michael Sheen,Joseph Kosinski
59,2012,"Nov 12, 2009","$200,000,000","$166,112,167","$757,677,748",Action,Original Screenplay,Science Fiction,Live Action,Centropolis Entertainment,PG-13,158 minutes,"3,404","3,404",6.4 weeks,John Cusack,Roland Emmerich
60,Fantastic Beasts: The Crimes of Grindelwald,"Nov 14, 2018","$200,000,000","$159,555,901","$652,220,086",Adventure,Spin-Off,Fantasy,Animation/Live Action,Heyday Films,PG-13,134 minutes,"4,163","4,163",5.1 weeks,Johnny Depp | Eddie Redmayne | ZoÃ« Kravitz | Callum Turner | Ezra Miller | Katherine Waterston | Jude Law | Alison Sudol | Dan Fogler | Claudia Kim,David Yates
61,Terminator Salvation,"May 21, 2009","$200,000,000","$125,322,469","$365,491,792",Action,Original Screenplay,Science Fiction,Live Action,Halcyon Company,PG-13,116 minutes,"3,530","3,530",5.0 weeks,,
62,Green Lantern,"Jun 17, 2011","$200,000,000","$116,601,172","$219,535,492",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Animation/Live Action,De Line Pictures,PG-13,113 minutes,"3,816","3,816",4.1 weeks,Ryan Reynolds,Martin Campbell
63,Prince of Persia: Sands of Time,"May 28, 2010","$200,000,000","$90,759,676","$336,359,676",Action,Based on Game,Fantasy,Live Action,Walt Disney Pictures,PG-13,115 minutes,"3,646","3,646",4.7 weeks,Jake Gyllenhaal | Gemma Arterton | Ben Kingsley,Mike Newell
64,Dark Phoenix,"Jun 5, 2019","$200,000,000","$65,845,974","$246,356,895",Action,Based on Fiction Book/Short Story,All Time Domestic Box Office for Super Hero Movies,Live Action,Marvel Studios,PG-13,114 minutes,"3,721","3,721",3.2 weeks,Sophie Turner | James McAvoy | Michael Fassbender | Jennifer Lawrence | Nicholas Hoult | Tye Sheridan | Alexandra Shipp | Kodi Smit-McPhee | Evan Peters,Simon Kinberg
65,Transformers: Dark of the Moon,"Jun 29, 2011","$195,000,000","$352,390,543","$1,123,794,079",Action,Based on TV,Science Fiction,Animation/Live Action,Paramount Pictures,PG-13,154 minutes,"4,088","4,088",5.7 weeks,Shia LaBeouf,Michael Bay
66,The Mummy,"Jun 2, 2017","$195,000,000","$80,101,125","$409,953,905",Adventure,Based on Folk Tale/Legend/Fairytale,Historical Fiction,Live Action,Universal Pictures,PG-13,107 minutes,"4,035","4,035",3.7 weeks,Tom Cruise | Annabelle Wallis | Sofia Boutella,Alex Kurtzman
67,Jack the Giant Slayer,"Feb 27, 2013","$195,000,000","$65,187,603","$197,687,603",Adventure,Based on Folk Tale/Legend/Fairytale,Fantasy,Animation/Live Action,New Line Cinema,PG-13,113 minutes,"3,525","3,525",4.8 weeks,Nicholas Hoult | Eleanor Tomlinson | Ewan McGregor,Bryan Singer
68,Furious 7,"Apr 1, 2015","$190,000,000","$353,007,020","$1,518,722,794",Action,Original Screenplay,Contemporary Fiction,Live Action,Original Film,PG-13,137 minutes,"4,003","4,003",6.9 weeks,Vin Diesel | Paul Walker,James Wan
69,Star Trek Into Darkness,"May 16, 2013","$190,000,000","$228,778,661","$467,381,584",Adventure,Based on TV,Science Fiction,Live Action,Bad Robot,PG-13,132 minutes,"3,868","3,868",5.8 weeks,Benedict Cumberbatch | Chris Pine | Zachary Quinto | John Cho | Alice Eve | Simon Pegg | Zoe Saldana | Karl Urban,J.J. Abrams
70,World War Z,"Jun 19, 2013","$190,000,000","$202,359,711","$531,514,650",Action,Based on Fiction Book/Short Story,Science Fiction,Live Action,Skydance Productions,PG-13,115 minutes,"3,607","3,607",5.9 weeks,Brad Pitt,Marc Forster
71,The Great Gatsby,"May 10, 2013","$190,000,000","$144,840,419","$353,640,419",Drama,Based on Fiction Book/Short Story,Historical Fiction,Live Action,Warner Bros.,PG-13,141 minutes,"3,535","3,535",5.4 weeks,Leonardo DiCaprio | Tobey Maguire | Joel Edgerton | Carey Mulligan | Isla Fisher | Elizabeth Debicki,Baz Luhrmann
72,Disneyâs A Christmas Carol,"Nov 6, 2009","$190,000,000","$137,855,863","$315,709,697",Drama,All Time Domestic Box Office for Remake Movies,Fantasy,All Time Domestic Box Office for Digital Animation Movies,ImageMovers,PG,95 minutes,"3,683","3,683",6.4 weeks,Jim Carrey,Robert Zemeckis
73,Pacific Rim,"Jul 11, 2013","$190,000,000","$101,802,906","$411,002,906",Action,Original Screenplay,Science Fiction,Live Action,Warner Bros.,PG-13,131 minutes,"3,275","3,275",4.3 weeks,Charlie Hunnam | Idris Elba | Rinko Kikuchi,Guillermo del Toro
74,The Good Dinosaur,"Nov 25, 2015","$187,500,000","$123,087,120","$333,771,037",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,Disney-Pixar,PG,92 minutes,"3,749","3,749",5.9 weeks,Raymond Ochoa | Lucas Neff | Jack Bright,Peter Sohn
75,Iron Man,"May 2, 2008","$186,000,000","$318,604,126","$585,171,547",Adventure,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,Paramount Pictures,PG-13,126 minutes,"4,105","4,105",8.0 weeks,Robert Downey Jr.* | Terrence Howard | Jeff Bridges | Gwyneth Paltrow,Jon Favreau
76,The Dark Knight,"Jul 18, 2008","$185,000,000","$533,720,947","$1,001,996,207",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,Legendary Pictures,PG-13,152 minutes,"4,366","4,366",9.0 weeks,Christian Bale | Heath Ledger,Christopher Nolan
77,Indiana Jones and the Kingdom of the Crystal Skull,"May 22, 2008","$185,000,000","$317,101,119","$786,635,413",Adventure,Original Screenplay,Historical Fiction,Live Action,Lucasfilm,PG-13,123 minutes,"4,260","4,260",7.0 weeks,Harrison Ford | Cate Blanchett | Karen Allen | Ray Winstone | Shia LaBeouf,Steven Spielberg
78,Brave,"Jun 21, 2012","$185,000,000","$237,282,182","$554,606,532",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,Disney-Pixar,PG,93 minutes,"4,164","4,164",7.3 weeks,Kelly Macdonald | Billy Connolly | Emma Thompson | Julie Walters | Robbie Coltrane | Kevin McKidd | Craig Ferguson,Mark Andrews | Brenda Chapman
79,Kong: Skull Island,"Feb 23, 2017","$185,000,000","$168,052,812","$561,072,059",Adventure,Original Screenplay,Science Fiction,Live Action,Legendary Pictures,PG-13,118 minutes,"3,846","3,846",6.0 weeks,Tom Hiddleston | Samuel L. Jackson | Brie Larson,Jordan Vogt-Roberts
80,Star Trek Beyond,"Jul 21, 2016","$185,000,000","$158,848,340","$335,802,233",Adventure,Based on TV,Science Fiction,Live Action,Sneaky Shark,PG-13,122 minutes,"3,928","3,928",5.2 weeks,John Cho | Simon Pegg | Chris Pine | Zachary Quinto | Zoe Saldana | Karl Urban | Anton Yelchin | Idris Elba | Sofia Boutella,Justin Lin
81,Maleficent: Mistress of Evil,"Oct 17, 2019","$185,000,000","$111,838,846","$474,848,159",Adventure,Original Screenplay,Fantasy,Live Action,Walt Disney Pictures,PG,118 minutes,"3,790","3,790",5.2 weeks,Angelina Jolie | Elle Fanning | Michelle Pfeiffer,Joachim Ronnin
82,Blade Runner 2049,"Sep 29, 2017","$185,000,000","$92,054,159","$259,357,408",Thriller/Suspense,Based on Fiction Book/Short Story,Science Fiction,Live Action,Alcon Entertainment,All Time Domestic Box Office for R Movies (Rank 101-200),164 minutes,"4,058","4,058",4.6 weeks,Ryan Gosling | Harrison Ford | Jared Leto | Ana de Armas | Sylvia Hoeks | Dave Bautista,Denis Villeneuve
83,Terminator: Dark Fate,"Oct 25, 2019","$185,000,000","$61,470,666","$250,290,723",Action,Original Screenplay,Science Fiction,Animation/Live Action,Paramount Pictures,All Time Domestic Box Office for R Movies (Rank 301-400),128 minutes,"4,086","4,086",3.0 weeks,Arnold Schwarzenegger,Tim Miller
